SeqID	Pos	Strand	logFC	logCPM	LR	PValue	PValue.adj	MatchedFeatureType	MatchedFeatureID	MatchedFeatureGene	MatchedFeatureDescription	MatchedFeatureStart	MatchedFeatureEnd	MatchedFeatureStrand
NC_000913.3	4037275	+	1.92228192804416	3.54925567957586	51.0473801093607	9.01631551565281e-13	1.74790292586445e-10	tRNA	rna149	alaT	tRNA-Ala	4037260	4037335	+
NC_000913.3	4362223	-	2.20816127439843	3.47848985501256	51.0747888331354	8.89129428047713e-13	1.74790292586445e-10	pseudogene	gene4284	yjdQ	NA	4362191	4362353	-
NC_000913.3	919009	-	2.54873594103652	4.56518851230794	49.1259969156666	2.40037744183698e-12	4.38997331013695e-10	CDS	cds868	ybjX	DUF535 domain-containing protein YbjX	918128	919120	-
NC_000913.3	451580	-	2.00591000922952	4.1097660742521	46.8979098558326	7.47824239570472e-12	1.27169479897484e-09	CDS	cds430	cyoA	cytochrome bo3 ubiquinol oxidase subunit 2	450663	451610	-
NC_000913.3	3333166	-	1.80130854127045	3.6702788751159	43.9304573519169	3.40252719161555e-11	5.31946710779509e-09	CDS	cds3172	rplU	50S ribosomal subunit protein L21	3333140	3333451	-
NC_000913.3	3378080	-	1.97787179100238	3.51052236823236	43.8191514459593	3.60163424386793e-11	5.45478761340811e-09	CDS	cds3216	rpsI	30S ribosomal subunit protein S9	3377815	3378207	-
NC_000913.3	3884412	+	1.89373308202436	3.67873171962777	43.3876918234925	4.49003515346249e-11	6.69567857577106e-09	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	3884366	+	1.71837030878886	3.65509012513916	42.6898140397147	6.4145442039579e-11	9.14355543661234e-09	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	2730463	-	-2.23052403648614	5.85718299136691	42.7050673994422	6.36471954761632e-11	9.14355543661234e-09	rRNA	rna87	rrsG	16S ribosomal RNA	2729616	2731157	-
NC_000913.3	3426965	-	1.88176134614073	3.73418254327124	42.4575165945908	7.22342770822234e-11	1.00023835393999e-08	tRNA	rna121	alaU	tRNA-Ala	3426958	3427033	-
NC_000913.3	4213255	+	1.88613945505633	3.44263450132559	42.244635970522	8.0540615608871e-11	1.08427803763443e-08	CDS	cds3963	yjaA	stress response protein	4213234	4213617	+
NC_000913.3	3884409	+	1.89932721538931	3.51934964710918	42.1471795267469	8.4655954328677e-11	1.12406871959982e-08	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	2153646	+	-2.4983978135399	5.93713576198299	41.9928376794413	9.16083459910874e-11	1.18394626358881e-08	ncRNA	rna70	sibB	small RNA SibB	2153646	2153781	+
NC_000913.3	1026967	-	-3.71345876117024	6.79379873416113	40.2051384389208	2.28646050397315e-10	2.77033270812647e-08	CDS	cds953	mgsA	methylglyoxal synthase	1026557	1027015	-
NC_000913.3	3322382	-	1.68466179168902	3.36468103416311	40.068260961989	2.4524141359416e-10	2.93472224934345e-08	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	3428068	-	-2.14698602712226	5.8743567971493	39.7547239287075	2.87943314367872e-10	3.36269222429853e-08	rRNA	rna123	rrsD	16S ribosomal RNA	3427221	3428762	-
NC_000913.3	3884410	+	1.85943396846128	3.80849019267703	38.5914779691517	5.22465513974379e-10	5.62695358550406e-08	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	1987930	-	2.50674522295794	6.92335304795808	38.5324562394347	5.38506617986723e-10	5.70345891417241e-08	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	3322434	-	1.85612577744483	4.57071584892554	38.4850113586564	5.51758124118164e-10	5.75074354524448e-08	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	3322393	-	2.73289659108587	4.21344279770679	38.2865819671219	6.1081204020786e-10	6.25135838336241e-08	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	4046552	-	2.23092030843524	4.89422289776897	37.9523284509977	7.24944991998759e-10	7.24421835818966e-08	CDS	cds3828	yihG	putative acyltransferase YihG	4045670	4046602	-
NC_000913.3	3322435	-	2.19031041489555	4.76076698175956	37.8807924178075	7.52019987181137e-10	7.43809156708853e-08	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	3427987	-	-1.97485994883306	5.46837856914393	37.7943853532176	7.8607689323581e-10	7.69640740013607e-08	rRNA	rna123	rrsD	16S ribosomal RNA	3427221	3428762	-
NC_000913.3	3424615	-	1.69137022436168	3.96197374183194	37.4062533829397	9.59141028236874e-10	9.11466077127453e-08	rRNA	rna120	rrlD	23S ribosomal RNA	3423880	3426783	-
NC_000913.3	480475	-	1.73719203950824	3.66469117456238	37.3234286097734	1.00075118785678e-09	9.4177487998988e-08	CDS	cds458	tomB	protein that modulates Hha toxicity	480334	480708	-
NC_000913.3	1987932	-	2.35172336207308	5.60544807282103	37.0062468601327	1.1775139015283e-09	1.06669553715083e-07	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	3322472	-	1.53611175427328	3.68788362991561	37.0115210915849	1.17433307970402e-09	1.06669553715083e-07	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	3322418	-	1.94170358574835	3.53494353757592	36.8006817034879	1.30844490004325e-09	1.14906114161028e-07	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	2730382	-	-1.93285352548632	5.42005514617029	36.352965530418	1.64628526475662e-09	1.37746910191682e-07	rRNA	rna87	rrsG	16S ribosomal RNA	2729616	2731157	-
NC_000913.3	3884367	+	1.58215210764073	3.62184300877697	35.9684757406811	2.00535822058076e-09	1.66136215658883e-07	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	3322451	-	1.9011360487382	3.58238783852933	35.8000230845284	2.18645305360467e-09	1.79604147869407e-07	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	1144940	+	1.47527081628384	3.74513316327242	35.1134694571367	3.11041882436148e-09	2.41194317316287e-07	CDS	cds1075	rluC	23S rRNA pseudouridine(955/2504/2580) synthase	1144940	1145899	+
NC_000913.3	3322438	-	1.75725405159702	4.50259994013348	34.5893236489709	4.07133152481345e-09	3.05917957131913e-07	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	3333296	-	1.55256473510571	3.41329277426297	34.4838472301717	4.29803327468433e-09	3.20467973319348e-07	CDS	cds3172	rplU	50S ribosomal subunit protein L21	3333140	3333451	-
NC_000913.3	3333382	-	2.28773476267586	6.41485671076251	34.1819766444697	5.01916676192896e-09	3.68566541086192e-07	CDS	cds3172	rplU	50S ribosomal subunit protein L21	3333140	3333451	-
NC_000913.3	4038651	+	-2.41923369998639	5.99768546113329	33.0541494740518	8.96275627833563e-09	6.07971771279189e-07	rRNA	rna150	rrlA	23S ribosomal RNA	4037519	4040423	+
NC_000913.3	3378095	-	1.58250088115837	3.82141948422397	32.7909888693592	1.02619447741948e-08	6.90757157612987e-07	CDS	cds3216	rpsI	30S ribosomal subunit protein S9	3377815	3378207	-
NC_000913.3	3884351	+	1.47541210118512	3.8159025169955	32.7347036439884	1.05634308365499e-08	7.06147138611575e-07	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	3884411	+	1.84506462602582	4.27004750151154	31.8123509183465	1.69809487771487e-08	1.10467339930807e-06	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	2308566	-	1.58432788907099	3.50172731825224	31.697980845891	1.80109356461845e-08	1.15615893522163e-06	CDS	cds2225	yojI	ABC transporter family protein/microcin J25 efflux protein	2306972	2308615	-
NC_000913.3	20860	-	1.60497635684098	3.92420171197123	31.5671984372911	1.92656502614683e-08	1.22053560774125e-06	CDS	cds22	rpsT	30S ribosomal subunit protein S20	20815	21078	-
NC_000913.3	3696744	+	2.06376530745576	3.49687903287252	31.3994050592881	2.10045257015259e-08	1.3135281782251e-06	CDS	cds3512	bcsE	c-di-GMP-binding protein BcsE	3696458	3698029	+
NC_000913.3	2727016	-	1.83516020530024	5.16986697125961	31.31063911626	2.19871429258287e-08	1.36616266910293e-06	rRNA	rna85	rrlG	23S ribosomal RNA	2726281	2729184	-
NC_000913.3	3378476	-	2.0087796430907	3.63827533397935	31.2100005774646	2.31570041957972e-08	1.42063823841685e-06	CDS	cds3217	rplM	50S ribosomal subunit protein L13	3378223	3378651	-
NC_000913.3	3311481	-	1.6387072363818	3.88644805754021	31.1442896571091	2.39542995760739e-08	1.46030833830745e-06	CDS	cds3153	rpsO	30S ribosomal subunit protein S15	3311415	3311684	-
NC_000913.3	3378105	-	1.71395296042442	4.18109909750333	31.1119206781552	2.43570960215815e-08	1.47558332335744e-06	CDS	cds3216	rpsI	30S ribosomal subunit protein S9	3377815	3378207	-
NC_000913.3	3425094	-	-2.15319888053077	5.93026611139937	31.0820004037105	2.47354530507891e-08	1.48919718274099e-06	rRNA	rna120	rrlD	23S ribosomal RNA	3423880	3426783	-
NC_000913.3	3322433	-	1.92143513878432	4.97391072658397	31.0028261910295	2.57652982624893e-08	1.54162367937228e-06	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	3333163	-	1.86426292060281	3.34829841169732	30.9484434356878	2.64974512085106e-08	1.57570426112941e-06	CDS	cds3172	rplU	50S ribosomal subunit protein L21	3333140	3333451	-
NC_000913.3	1987929	-	2.57393556365515	9.87715156836438	30.7555443268362	2.92666432997171e-08	1.71928226366156e-06	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	4167279	+	-1.92766498500854	5.91948003447348	30.516375180764	3.31060295106156e-08	1.91201059024891e-06	rRNA	rna156	rrsB	16S ribosomal RNA	4166659	4168200	+
NC_000913.3	3944144	+	-1.95841532996539	5.84617126359308	30.4155182761229	3.48727232622618e-08	2.0001260744444e-06	rRNA	rna137	rrlC	23S ribosomal RNA	3943704	3946607	+
NC_000913.3	4051036	+	-2.63189396076084	9.74069841937889	30.1834036471423	3.93058624420928e-08	2.20226430434223e-06	ncRNA	rna153	csrC	small regulatory RNA CsrC	4051036	4051280	+
NC_000913.3	1987921	-	2.96051473516196	6.74018437616488	30.1432721963385	4.01276837773275e-08	2.23538872904388e-06	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	3811607	-	1.65459258697982	3.51572273395344	29.8881437915043	4.57703118680302e-08	2.52074791441373e-06	CDS	cds3618	rpmB	50S ribosomal subunit protein L28	3811438	3811674	-
NC_000913.3	3941913	+	-2.06418470957444	5.60706796959551	29.8286116096776	4.71975011826752e-08	2.57014257844759e-06	rRNA	rna135	rrsC	16S ribosomal RNA	3941808	3943349	+
NC_000913.3	3811627	-	1.57238554627212	4.09429884301481	29.8036744574607	4.78085008958406e-08	2.58887038649935e-06	CDS	cds3618	rpmB	50S ribosomal subunit protein L28	3811438	3811674	-
NC_000913.3	2620835	-	1.49371702851053	3.47548386031633	29.6085040741661	5.28724625766069e-08	2.84718210975028e-06	CDS	cds2510	upp	uracil phosphoribosyltransferase	2620246	2620872	-
NC_000913.3	224391	+	-1.90634803286891	5.93265088829967	29.5525294740764	5.44215850854695e-08	2.91441118361025e-06	rRNA	rna3	rrsH	16S ribosomal RNA	223771	225312	+
NC_000913.3	3424123	-	-1.78086926562433	5.06460551381808	29.4748020687235	5.66484344679654e-08	3.01699601812082e-06	rRNA	rna120	rrlD	23S ribosomal RNA	3423880	3426783	-
NC_000913.3	4175388	+	2.80453070821916	11.1636161858641	29.2698553325279	6.29676816508893e-08	3.29916615265984e-06	tRNA	rna160	thrU	tRNA-Thr	4175388	4175463	+
NC_000913.3	3322436	-	1.91640180212154	5.0733031372566	28.8806148122786	7.69794890651709e-08	3.92716940794053e-06	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	1991887	-	1.93834912531886	4.1523375837113	28.8583990450506	7.78675040965986e-08	3.9516739120855e-06	tRNA	rna57	leuZ	tRNA-Leu	1991815	1991901	-
NC_000913.3	4170735	+	1.77167518445478	5.17644424294812	28.7648056343283	8.17227687792217e-08	4.08318967926286e-06	rRNA	rna158	rrlB	23S ribosomal RNA	4168641	4171544	+
NC_000913.3	1958673	-	-2.21549740468431	5.74760564960857	28.7751519593201	8.12873517476634e-08	4.08318967926286e-06	CDS	cds1899	cutC	protein CutC	1958520	1959266	-
NC_000913.3	2098249	-	1.45520102114404	3.71232504305916	28.7651144390597	8.1709739199227e-08	4.08318967926286e-06	CDS	cds2041	wzzB	regulator of length of O-antigen component of lipopolysaccharide chains	2097321	2098301	-
NC_000913.3	3333262	-	1.59131452430227	3.93225082091662	28.7306875029057	8.31752321883511e-08	4.13444884923942e-06	CDS	cds3172	rplU	50S ribosomal subunit protein L21	3333140	3333451	-
NC_000913.3	4037558	+	1.32357961359409	3.87903595168883	28.4380680905077	9.674417044786e-08	4.76010783833049e-06	rRNA	rna150	rrlA	23S ribosomal RNA	4037519	4040423	+
NC_000913.3	4208252	+	-1.9585025719807	5.59749509442867	28.4275676811536	9.72703075442049e-08	4.76182369205039e-06	rRNA	rna165	rrsE	16S ribosomal RNA	4208147	4209688	+
NC_000913.3	3921149	-	-1.98862572402601	5.69811964650409	28.4087387028216	9.82209496805007e-08	4.78419932287987e-06	CDS	cds3721	atpE	ATP synthase Fo complex subunit c	3920950	3921189	-
NC_000913.3	3322445	-	1.52920841726933	4.3593344641875	28.3770857047458	9.98400817265061e-08	4.83874956087512e-06	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	2727977	-	-1.90656922948268	6.09890813724591	28.3570193022307	1.00880354545095e-07	4.86295424047608e-06	rRNA	rna85	rrlG	23S ribosomal RNA	2726281	2729184	-
NC_000913.3	1147382	+	1.34266770128918	3.55072177484174	28.2417984355424	1.07067331399563e-07	5.11233321800966e-06	CDS	cds1078	rpmF	50S ribosomal subunit protein L32	1147367	1147540	+
NC_000913.3	4166764	+	-2.0501721222367	5.60475687904997	28.1290882004682	1.13487279215411e-07	5.39231469330871e-06	rRNA	rna156	rrsB	16S ribosomal RNA	4166659	4168200	+
NC_000913.3	3151942	-	1.47242488444765	3.94733122179311	28.0385885143147	1.18920291942887e-07	5.59560383399227e-06	CDS	cds2997	exbB	Ton complex subunit ExbB	3151250	3151984	-
NC_000913.3	4035636	+	-1.96995661517699	5.65609717545787	27.9745950152915	1.22918649069874e-07	5.7007199303076e-06	rRNA	rna147	rrsA	16S ribosomal RNA	4035531	4037072	+
NC_000913.3	2727495	-	-2.08717273811098	5.94767309414007	27.783763665194	1.3565984245408e-07	6.26167072813045e-06	rRNA	rna85	rrlG	23S ribosomal RNA	2726281	2729184	-
NC_000913.3	3442359	-	1.40033844398593	3.51207097633821	27.7727290360867	1.36435815136965e-07	6.26764149821138e-06	CDS	cds3275	rpsM	30S ribosomal subunit protein S13	3442115	3442471	-
NC_000913.3	227853	+	1.71722323482534	5.15697610203532	27.7464663853148	1.38300585442329e-07	6.29365058541076e-06	rRNA	rna6	rrlH	23S ribosomal RNA	225759	228662	+
NC_000913.3	3333298	-	1.42953136204456	3.97006986243479	27.7516900734761	1.37927655387959e-07	6.29365058541076e-06	CDS	cds3172	rplU	50S ribosomal subunit protein L21	3333140	3333451	-
NC_000913.3	3425576	-	-1.91178165763637	6.12639133286289	27.6820612355905	1.42982497563294e-07	6.44618301805121e-06	rRNA	rna120	rrlD	23S ribosomal RNA	3423880	3426783	-
NC_000913.3	3944452	+	-1.74065729260853	5.96334437204852	27.6220617100348	1.47486958211664e-07	6.6184772497484e-06	rRNA	rna137	rrlC	23S ribosomal RNA	3943704	3946607	+
NC_000913.3	1987927	-	2.27069881674617	7.6030042097111	27.5949500230301	1.49568752724425e-07	6.68096737399932e-06	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	4169389	+	-1.73194369569844	5.96429418956072	27.4846203630905	1.58348721739304e-07	7.00855780739304e-06	rRNA	rna158	rrlB	23S ribosomal RNA	4168641	4171544	+
NC_000913.3	3811361	-	1.67463048764924	3.77133912316785	27.111452700077	1.92056761825501e-07	8.34800983127617e-06	CDS	cds3617	rpmG	50S ribosomal subunit protein L33	3811250	3811417	-
NC_000913.3	3322430	-	1.60676816841419	4.08087467770285	27.0872162051704	1.94479785859064e-07	8.41559180505314e-06	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	4208767	+	-1.8520025155548	5.87426764023097	27.0363376433041	1.99666462435686e-07	8.56357088667745e-06	rRNA	rna165	rrsE	16S ribosomal RNA	4208147	4209688	+
NC_000913.3	3884365	+	1.58552779130403	4.64520002566325	26.9974968422544	2.03719108416048e-07	8.69889567346588e-06	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	4038267	+	-1.70677549035579	5.97719564330293	26.9597803529428	2.07733329751555e-07	8.8313998477273e-06	rRNA	rna150	rrlA	23S ribosomal RNA	4037519	4040423	+
NC_000913.3	4449586	-	1.59273680777887	4.14088311540384	26.7932835661569	2.26422920832819e-07	9.41938786108375e-06	CDS	cds4181	ppa	inorganic pyrophosphatase	4449122	4449652	-
NC_000913.3	2728669	-	-1.76600444665859	5.70171007857438	26.7583427026872	2.30554198422071e-07	9.50962487363886e-06	rRNA	rna85	rrlG	23S ribosomal RNA	2726281	2729184	-
NC_000913.3	3426268	-	-1.75578918449896	5.68567353534757	26.7637741081817	2.29907084420871e-07	9.50962487363886e-06	rRNA	rna120	rrlD	23S ribosomal RNA	3423880	3426783	-
NC_000913.3	4037959	+	-1.89773065076085	5.81843424943245	26.6933571252036	2.3843984537892e-07	9.75188785340872e-06	rRNA	rna150	rrlA	23S ribosomal RNA	4037519	4040423	+
NC_000913.3	3811626	-	1.52856381510914	3.75952468570578	26.6732068917337	2.40939450695716e-07	9.77221492631985e-06	CDS	cds3618	rpmB	50S ribosomal subunit protein L28	3811438	3811674	-
NC_000913.3	3945798	+	1.68553431551004	5.12806290811132	26.6018280956564	2.50007082093105e-07	1.0055264094309e-05	rRNA	rna137	rrlC	23S ribosomal RNA	3943704	3946607	+
NC_000913.3	3322493	-	1.35172416240053	3.87242562476546	26.4243227685558	2.7406755248873e-07	1.09322501492727e-05	CDS	cds3161	secG	Sec translocon subunit SecG	3322173	3322505	-
NC_000913.3	4210791	+	-1.68042743140631	5.97013608304959	26.3815787733245	2.80200086418014e-07	1.10856303577543e-05	rRNA	rna167	rrlE	23S ribosomal RNA	4210043	4212946	+
NC_000913.3	451575	-	2.18265303058379	4.63999325348594	26.3615527648001	2.83120374646424e-07	1.11556332985682e-05	CDS	cds430	cyoA	cytochrome bo3 ubiquinol oxidase subunit 2	450663	451610	-
NC_000913.3	4039614	+	1.67026905510691	5.17522759207597	26.0526570635823	3.32231316731302e-07	1.29330046308294e-05	rRNA	rna150	rrlA	23S ribosomal RNA	4037519	4040423	+
NC_000913.3	3884388	+	1.61653230863048	3.41773381230556	25.9348702043122	3.53132272146499e-07	1.36728611896819e-05	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	223876	+	-1.92708743408062	5.60818655028234	25.906231907405	3.58410194605584e-07	1.37315020407586e-05	rRNA	rna3	rrsH	16S ribosomal RNA	223771	225312	+
NC_000913.3	3332947	-	2.53708192041059	3.67676040482033	25.8359671816154	3.71697173745509e-07	1.41288655102558e-05	CDS	cds3171	rpmA	50S ribosomal subunit protein L27	3332862	3333119	-
NC_000913.3	3332945	-	2.22112894617427	5.86584331343616	25.8106850655389	3.76597855552457e-07	1.42592305229295e-05	CDS	cds3171	rpmA	50S ribosomal subunit protein L27	3332862	3333119	-
NC_000913.3	4212137	+	1.67472248325308	5.17748780547948	25.7098256254667	3.96801650967878e-07	1.4965752540201e-05	rRNA	rna167	rrlE	23S ribosomal RNA	4210043	4212946	+
NC_000913.3	2817845	-	1.46795476191194	4.1590565082543	25.5582484842802	4.29227202410475e-07	1.61259661742819e-05	tRNA	rna92	argQ	tRNA-Arg	2817784	2817860	-
NC_000913.3	226199	+	-1.82113823435312	5.83293610834251	25.3275231199728	4.83756588768888e-07	1.79657188311756e-05	rRNA	rna6	rrlH	23S ribosomal RNA	225759	228662	+
NC_000913.3	2373498	-	-2.92547158087647	6.33946684322017	25.2575770411079	5.01621203301209e-07	1.8487506933835e-05	CDS	cds2275	pmrD	signal transduction protein PmrD	2373272	2373538	-
