GeneID	Name	NT1_5min	NT2_5min	NT3_5min	T1_5min	T2_5min	T3_5min
gene80	ilvI	175	206	186	135	200	140
gene81	ilvH	74	65	50	34	53	30
gene82	cra	1063	1284	1229	568	609	517
gene83	mraZ	2510	2158	2196	1942	2752	1922
gene84	rsmH	2304	2401	2431	2094	2510	2423
gene85	ftsL	1622	2077	2089	1293	1322	1284
gene86	ftsI	7686	8127	5150	2893	3859	3253
gene87	murE	1418	1695	1838	552	630	529
gene88	murF	905	833	803	305	414	322
gene89	mraY	1382	1506	1370	560	718	548
gene90	murD	1374	1288	1188	553	573	567
gene91	ftsW	1053	1101	1011	465	568	534
gene92	murG	902	1009	856	441	534	438
gene93	murC	1853	1855	1733	875	956	835
gene94	ddlB	1543	2086	2117	1053	1086	1049
gene95	ftsQ	1817	2227	2401	1192	1316	1165
gene96	ftsA	4301	4674	5545	3012	3434	3254
gene97	ftsZ	4090	5170	6146	3307	3547	3438
gene98	lpxC	27970	25298	25623	33457	38812	32414
gene99	secM	3619	5627	6322	7084	8012	8049
gene100	secA	9189	8402	9285	4803	5971	4398
gene101	mutT	122	115	126	108	112	116
gene102	yacG	189	251	264	167	202	176
gene103	zapD	688	669	648	803	1023	786
gene104	coaE	523	537	437	573	793	562
gene105	yacM	79	100	79	81	151	105
gene106	guaC	3358	3158	3122	4392	6625	4971
gene107	hofC	111	92	94	125	163	106
gene108	hofB	172	211	167	157	219	142
gene109	ppdD	16	14	15	21	22	14
gene110	nadC	744	1102	989	1002	1308	869
gene111	ampD	230	307	288	161	201	155
gene112	ampE	130	225	241	107	136	82
gene113	aroP	304	313	308	394	513	386
gene114	pdhR	7990	19750	24924	41128	43556	39682
gene115	aceE	34806	34231	36553	63192	74714	63704
gene116	aceF	12294	9115	9366	8011	9234	8259
gene117	lpd	12160	8385	7702	8832	11240	9002
gene118	yacH	297	299	285	308	346	320
gene119	acnB	6379	6270	6362	4334	4769	4089
gene120	yacL	615	924	805	482	646	524
gene121	speD	1399	1234	950	856	1257	974
gene122	speE	1977	1818	1823	2253	2832	2124
gene123	yacC	3113	5089	5257	4931	5156	4710
gene124	cueO	119	203	208	128	155	152
gene125	gcd	1139	1083	1091	2048	2746	2225
gene126	hpt	3070	3238	4861	5333	5008	4424
gene127	can	7005	4428	4089	9974	13204	8948
gene128	yadG	438	501	521	406	579	452
gene129	yadH	555	680	616	478	475	503
gene130	yadI	467	785	840	225	259	209
gene131	yadE	442	455	483	448	652	508
gene132	panD	3337	2865	2084	5532	7413	4927
gene133	rpnC	505	520	559	514	766	534
gene134	panC	746	939	919	720	1008	857
gene135	panB	485	590	501	498	724	571
gene136	yadC	1494	1643	1735	2724	3965	2937
gene137	yadK	459	441	472	977	1220	902
gene138	yadL	348	411	437	703	961	721
gene139	yadM	405	504	532	838	1030	853
gene140	htrE	714	825	847	1286	1660	1251
gene141	yadV	548	687	701	828	1083	880
gene142	yadN	164	128	136	239	320	200
gene143	folK	158	122	131	136	150	142
gene144	pcnB	1779	1405	1224	1691	2002	1724
gene145	gluQ	860	557	476	558	771	627
gene146	dksA	17159	8622	10167	9259	11935	7391
gene147	sfsA	1850	3012	2796	1279	1665	1164
gene148	thpR	261	248	238	245	299	213
gene149	hrpB	437	421	337	359	384	376
gene150	mrcB	1191	1303	1336	1022	1224	1057
gene151	fhuA	1756	1887	1969	2253	2407	1897
gene152	fhuC	105	145	100	93	121	101
gene153	fhuD	213	166	132	113	117	113
gene154	fhuB	308	273	211	191	193	159
gene155	hemL	1373	1438	1460	1111	1421	1358
gene156	clcA	1149	1095	1098	1033	1404	1161
gene157	yadW	5810	5775	6154	8223	12324	8170
gene158	erpA	7656	6937	7013	10512	15550	10315
gene159	yadS	385	304	240	411	624	406
gene160	btuF	380	455	465	392	458	422
gene161	mtn	3036	3341	3145	4239	4852	3807
gene162	dgt	807	948	833	1025	1380	1040
gene163	degP	1027	1996	1985	1335	1519	1364
gene164	cdaR	483	585	651	142	183	122
gene165	yaeH	814	978	908	720	1145	722
gene166	yaeI	163	158	171	124	145	131
gene167	dapD	1702	1487	1380	1204	1644	1175
gene168	glnD	543	721	777	490	585	466
gene169	map	12357	8852	9078	12130	14419	10308
gene170	tff	6006	6422	5877	7579	10766	9036
gene171	rpsB	36846	30523	31416	51661	57071	45281
gene172	tsf	48024	38281	45541	40256	47329	36325
gene173	pyrH	1595	1756	1851	1581	1974	1661
gene174	frr	12786	10878	14675	15878	17013	13196
gene175	dxr	769	709	727	582	660	545
gene176	ispU	3067	3065	3860	3831	4218	3731
gene177	cdsA	1424	1551	1477	1664	1818	1659
gene178	rseP	2833	3125	3455	2667	2789	2701
gene179	bamA	8588	10819	11628	6965	7558	6979
gene180	skp	6112	7403	7610	13020	13589	14751
gene181	lpxD	6316	5161	5635	7937	9077	8960
gene182	fabZ	5699	6087	7169	9518	10448	10361
gene183	lpxA	3397	2931	3159	2686	2848	2729
gene184	lpxB	1442	1198	1127	956	1080	1013
gene185	rnhB	555	467	432	297	338	306
gene186	dnaE	5107	4415	4365	4355	4717	4193
gene187	accA	3594	2762	3367	3988	4578	3662
gene188	ldcC	338	369	441	372	417	393
gene189	yaeR	236	240	221	300	400	260
gene190	tilS	325	374	333	462	527	472
gene191	rof	297	283	277	296	391	330
gene192	yaeP	734	933	1089	624	835	689
gene193	yaeQ	687	749	866	763	791	700
gene194	arfB	119	119	109	130	139	98
gene195	nlpE	531	574	657	448	619	441
gene196	yaeF	607	403	454	493	654	456
gene197	proS	2967	2972	2947	2765	3044	2810
gene198	trmO	143	163	161	162	166	146
gene199	rcsF	966	1050	1221	1360	2276	1747
gene200	metQ	3520	2640	2910	3776	4998	3252
gene201	metI	435	509	519	536	678	506
gene202	metN	633	821	894	865	1128	1006
gene203	gmhB	2002	1850	1611	2058	2622	2125
gene204	rrsH	285057	354632	332712	178526	216651	215664
gene205	ileV	17017	6488	6675	16043	15998	16548
gene206	alaV	6759	3429	3288	13156	14458	12760
gene207	rrlH	1086031	939943	917244	577835	672836	575408
gene208	rrfH	286563	196873	164443	154322	193045	153545
gene209	aspU	7669	3084	2155	5743	6374	4860
gene210	dkgB	913	694	676	2202	3369	2069
gene211	yafC	191	274	269	418	519	387
gene212	yafD	336	478	462	391	490	324
gene213	yafE	303	246	271	257	340	271
gene214	mltD	4414	4117	4674	6236	6907	5827
gene215	gloB	956	850	758	1131	1654	1110
gene216	yafS	822	802	666	774	1047	727
gene217	rnhA	646	507	430	670	927	588
gene218	dnaQ	1966	2216	2392	3679	4339	3117
gene219	aspV	2883	1753	1270	2433	2212	2091
gene220	yafT	1998	1410	1382	4113	5863	3433
gene221	ykfM	307	346	313	894	1069	940
gene224	yafV	530	606	579	378	448	290
gene225	ivy	1386	999	1129	1271	1610	1050
gene226	fadE	1181	1274	1143	685	952	671
gene227	lpcA	1545	1772	1913	2431	2752	2712
gene228	yafJ	303	342	315	245	360	267
gene229	yafK	1829	1323	1247	2686	4107	2364
gene230	yafQ	3632	2548	2409	3221	5455	3429
gene231	dinJ	2923	2623	2446	3161	5657	3367
gene232	yafL	74	83	82	101	140	89
gene233	rayT	62	145	118	63	92	86
gene236	dinB	334	317	264	247	375	239
gene237	yafN	491	583	580	580	732	566
gene238	yafO	387	458	399	470	671	472
gene239	yafP	77	103	109	149	212	139
gene242	pepD	2987	3132	2945	2504	3401	2603
gene243	gpt	949	1432	1498	2913	3576	3123
gene244	frsA	497	588	559	582	692	582
gene246	insB9	157	151	125	190	271	181
gene247	insA9	235	242	200	306	428	343
gene248	phoE	912	1003	1059	1230	1743	1208
gene249	proB	1243	1502	1499	1361	1648	1456
gene250	proA	854	884	917	817	960	875
gene251	thrW	2158	1455	1275	2241	3517	2432
gene253	ykfI	105	66	65	162	302	145
gene254	yafW	37	21	20	30	31	28
gene255	ykfH	8	18	18	26	17	31
gene256	ykfG	23	19	20	37	32	36
gene257	yafX	42	40	31	41	74	44
gene258	ykfF	38	27	25	20	33	30
gene259	ykfB	485	320	271	308	500	340
gene260	yafY	224	269	235	169	313	214
gene263	yafZ	20	23	33	15	22	20
gene264	ykfA	210	147	145	148	227	189
gene265	perR	167	166	161	268	356	240
gene267	insI-1	769	963	891	989	1247	939
gene268	eyeA	8	6	7	1	5	6
gene269	ykfC	51	65	67	67	80	84
gene270	insH-1	489	530	550	282	436	305
gene271	mmuP	80	111	104	63	88	66
gene272	mmuM	178	299	241	69	88	62
gene273	afuC	55	57	49	64	79	68
gene275	insB-2	150	156	119	136	220	135
gene276	insA-2	231	278	256	265	416	301
gene279	yagB	242	227	230	228	322	244
gene280	yagA	19	10	14	20	22	19
gene281	yagE	198	220	212	80	103	90
gene282	yagF	110	107	82	23	37	25
gene283	yagG	22	36	19	13	24	21
gene284	yagH	23	16	24	28	25	36
gene285	xynR	250	170	177	255	347	287
gene286	argF	70	117	108	238	242	214
gene287	ykgS	207	209	225	182	287	219
gene288	insB-3	171	162	155	154	254	156
gene289	insA-3	264	265	197	255	430	283
gene290	yagJ	1436	1482	1384	1075	1620	963
gene291	yagK	1564	1547	1552	2201	2817	2036
gene292	yagL	3307	4195	8181	7280	8008	6211
gene293	yagM	2219	1937	1761	3134	4329	3345
gene294	ykgV	113	83	62	158	255	167
gene295	yagN	2846	5372	7427	4113	5764	4640
gene296	intF	2732	2544	2558	3138	4584	2776
gene297	yagP	271	172	183	220	363	222
gene298	paoD	97	82	74	90	122	87
gene299	paoC	23	37	36	30	18	31
gene300	paoB	12	13	4	11	12	11
gene301	paoA	30	21	17	21	29	26
gene302	yagU	2525	3139	3575	4880	5706	4512
gene303	ykgJ	404	328	309	474	655	467
gene304	ecpE	142	138	128	185	245	210
gene305	ecpD	238	299	263	244	334	248
gene306	ecpC	127	189	181	159	199	147
gene307	ecpB	13	16	11	25	32	30
gene308	ecpA	155	189	182	238	260	220
gene309	ecpR	683	847	1193	1529	1855	1475
gene310	ykgL	211	190	204	358	475	363
gene311	ykgO	382	340	367	525	650	502
gene312	ykgM	253	248	300	304	397	285
gene313	ykgR	269	361	350	161	218	169
gene316	insE-1	128	140	128	135	173	138
gene317	insF-1	179	180	158	151	264	191
gene320	rclC	261	337	338	563	761	503
gene321	rclB	282	367	342	410	587	515
gene322	rclA	361	309	319	379	590	444
gene323	rclR	136	140	138	147	167	153
gene324	ykgE	239	811	952	114	131	97
gene325	ykgF	147	731	890	73	90	68
gene326	ykgG	152	414	508	111	143	119
gene327	ykgH	650	866	952	1096	1473	1133
gene328	betA	368	304	366	307	320	295
gene329	betB	521	495	402	503	571	435
gene330	betI	753	533	434	565	806	601
gene331	betT	3564	3557	2507	6572	6557	5577
gene332	yahV	61	48	47	106	139	102
gene333	pdeL	7805	7126	7366	13737	17160	12560
gene334	yahB	853	1076	1018	1011	1279	1023
gene335	yahC	42	51	41	74	101	94
gene336	yahD	48	58	78	69	94	83
gene337	yahE	40	63	67	71	102	88
gene338	yahF	51	70	75	74	71	58
gene339	yahG	12	14	6	15	14	16
gene340	yahH	4	4	8	8	6	5
gene341	yahI	23	31	37	25	37	25
gene342	yahJ	120	110	111	102	134	99
gene343	yahK	160	186	179	134	198	168
gene344	yahL	538	666	688	983	1193	1058
gene345	yahM	444	432	367	505	754	470
gene346	yahN	141	293	253	142	184	139
gene347	yahO	439	579	635	519	661	471
gene348	prpR	87	66	55	51	63	53
gene349	prpB	13	21	20	25	22	21
gene350	prpC	23	18	13	20	37	20
gene351	prpD	20	25	25	26	39	33
gene352	prpE	22	37	29	34	37	37
gene353	codB	183	255	196	226	279	270
gene354	codA	144	171	169	135	167	147
gene355	cynR	76	77	74	59	87	86
gene356	cynT	21	11	9	15	16	16
gene357	cynS	26	27	30	29	30	33
gene358	cynX	27	20	29	23	29	32
gene359	lacA	82	80	99	91	147	115
gene360	lacY	142	193	208	272	304	227
gene361	lacZ	94	129	125	75	91	73
gene362	lacI	260	202	202	251	303	231
gene363	mhpR	175	157	195	235	238	214
gene364	mhpA	21	16	26	32	26	28
gene365	mhpB	29	20	21	29	26	31
gene366	mhpC	53	39	46	57	75	63
gene367	mhpD	11	17	11	14	17	10
gene368	mhpF	14	21	13	13	13	19
gene369	mhpE	65	49	35	25	31	29
gene370	mhpT	31	28	23	24	31	19
gene371	yaiL	865	995	923	634	934	609
gene372	frmB	803	856	757	885	1220	998
gene373	frmA	703	679	523	808	1009	753
gene374	frmR	973	1329	1549	1160	1347	1125
gene375	yaiO	276	307	374	314	382	282
gene377	insC-1	238	215	294	203	243	202
gene378	insD-1	273	312	337	307	352	301
gene379	yaiP	83	109	91	160	186	191
gene380	ykiC	16	20	26	56	82	50
gene381	yaiS	127	146	145	211	275	214
gene382	tauA	9	11	14	24	31	29
gene383	tauB	7	14	14	8	14	14
gene384	tauC	11	12	7	11	21	15
gene385	tauD	40	40	19	43	42	42
gene386	hemB	1649	1980	1920	1863	2004	1846
gene388	insF-2	295	253	249	280	379	310
gene389	insE-2	210	222	208	235	293	260
gene390	iprA	498	403	342	404	599	384
gene391	ampH	601	542	395	244	271	256
gene392	sbmA	474	517	528	464	637	493
gene393	yaiW	704	614	598	492	691	499
gene394	yaiY	62	61	63	65	87	76
gene395	yaiZ	1301	1742	1665	470	532	411
gene396	ddlA	1508	1454	1565	1216	1422	1086
gene397	iraP	2522	2249	2986	1938	2509	1995
gene398	phoA	808	638	513	531	876	613
gene399	psiF	234	137	113	137	241	135
gene400	dgcC	83	91	67	86	123	105
gene401	proC	209	268	272	236	271	211
gene402	yaiI	730	696	761	556	796	586
gene403	aroL	1222	1172	1017	1201	1541	1021
gene404	yaiA	1112	1302	1375	932	1214	803
gene405	aroM	963	844	851	1028	1367	922
gene406	ppnP	839	892	556	631	865	546
gene408	ykiD	63	64	44	100	141	99
gene409	rdgC	705	686	766	1410	1695	1480
gene410	mak	125	186	162	116	155	126
gene411	araJ	220	266	236	215	254	230
gene412	sbcC	417	366	344	237	285	224
gene413	sbcD	333	314	424	387	480	425
gene414	phoB	1466	2479	3914	2438	2682	3600
gene415	phoR	698	625	545	778	933	792
gene416	brnQ	1190	1058	912	1298	1626	1273
gene417	proY	760	793	800	862	941	889
gene418	malZ	186	191	220	239	313	300
gene419	acpH	149	122	137	147	197	189
gene420	queA	1265	1136	1027	2377	2582	2267
gene421	tgt	3051	3283	3653	4094	4196	3690
gene422	yajC	3432	4063	4107	5809	6736	5341
gene423	secD	6617	7932	7812	6090	6813	6102
gene424	secF	2325	2986	2573	1814	1822	1594
gene425	yajD	396	313	288	428	626	397
gene426	tsx	11169	15036	13278	4411	5170	3795
gene427	yajI	161	267	239	166	252	216
gene428	nrdR	483	590	521	582	689	633
gene429	ribD	555	663	634	483	567	501
gene430	ribE	852	751	738	1026	1329	1191
gene431	nusB	1385	1181	1086	2230	2537	2138
gene432	thiL	1087	1240	1241	758	852	833
gene433	pgpA	1256	1563	1433	840	933	891
gene434	yajO	554	680	694	318	390	289
gene435	dxs	1333	1546	1333	666	887	719
gene436	ispA	2165	2575	2889	1306	1546	1326
gene437	xseB	701	966	926	685	805	685
gene438	thiI	1455	1261	1196	2169	2451	1864
gene439	yajL	197	200	158	159	216	151
gene440	panE	330	517	538	460	579	510
gene441	yajQ	3694	2654	2736	4698	5963	4157
gene442	yajR	619	516	429	694	919	650
gene443	cyoE	3044	3204	2380	1464	1538	1314
gene444	cyoD	3864	3399	2841	1770	2018	1757
gene445	cyoC	6664	7017	5696	2977	3278	2975
gene446	cyoB	10156	9533	8780	5604	6235	5522
gene447	cyoA	29958	41222	49868	67822	73677	68593
gene448	ampG	1255	1227	903	617	764	638
gene449	yajG	782	1104	999	1531	2142	1715
gene450	bolA	4012	5060	5044	3175	3555	2634
gene451	tig	27623	24001	29505	43095	40318	34643
gene452	clpP	2846	4344	3911	3553	4481	4023
gene453	clpX	3477	3203	3450	3695	3872	3384
gene454	lon	5443	5649	6316	5528	6551	5643
gene455	hupB	20506	18176	23834	21293	23020	17181
gene456	ppiD	4587	4146	4535	4581	6094	4881
gene457	ybaV	210	179	222	187	228	164
gene458	fadM	142	113	79	119	185	122
gene459	queC	550	444	440	544	608	455
gene460	ybaE	195	308	271	122	151	132
gene461	cof	603	1384	1290	464	600	413
gene462	decR	319	432	438	410	457	393
gene463	mdlA	460	585	611	337	399	372
gene464	mdlB	415	433	411	219	259	210
gene465	glnK	19	19	17	16	17	13
gene466	amtB	95	89	60	55	80	65
gene467	tesB	373	451	440	409	553	473
gene468	ybaY	520	400	377	379	497	350
gene469	atl	18	31	39	32	18	20
gene470	ffs	13158	4230	3381	3291	2809	2195
gene471	ybaA	464	291	209	1093	1193	787
gene472	pdeB	869	971	1028	1393	1778	1204
gene473	ylaC	1829	1717	1399	4122	4672	3475
gene474	maa	2955	1982	1740	5391	7044	3931
gene475	hha	10883	9884	9146	21034	28049	18244
gene476	tomB	17536	20373	22595	44528	51788	40334
gene477	acrB	3595	3852	3694	2373	2723	2443
gene478	acrA	3651	3878	4311	4342	5282	4238
gene479	acrR	5398	9025	11607	7191	7728	6437
gene480	mscK	1815	1844	1912	1931	2153	1831
gene481	ybaM	170	203	173	138	170	118
gene482	priC	99	131	113	96	149	92
gene483	ybaN	384	468	382	414	536	359
gene484	apt	1160	789	668	1721	2247	1646
gene485	dnaX	1998	1685	1573	1646	1969	1630
gene486	ybaB	845	630	669	353	476	388
gene487	recR	772	777	608	365	410	361
gene488	htpG	2151	3132	3631	2554	2781	2397
gene489	adk	5873	3193	2907	5854	7340	5238
gene490	hemH	344	386	357	328	437	299
gene491	aes	175	166	158	130	189	170
gene492	gsk	879	855	744	758	987	811
gene493	ybaL	1006	1111	937	883	1164	865
gene494	fsr	340	394	406	319	411	353
gene495	ushA	384	509	503	361	476	358
gene496	ybaK	181	179	154	285	363	272
gene497	chiX	8424	7663	7820	7706	5882	5928
gene498	ybaP	6031	5839	5476	6769	5063	4540
gene499	ybaQ	1615	1051	722	911	1859	1012
gene500	copA	337	500	583	395	420	372
gene501	glsA	37	38	43	29	34	46
gene502	ybaT	60	76	84	67	105	62
gene503	cueR	338	347	344	293	342	241
gene504	ybbJ	114	139	102	66	108	92
gene505	qmcA	383	625	696	701	754	766
gene506	fetA	558	840	813	807	1029	820
gene507	fetB	142	155	204	166	168	171
gene508	cnoX	387	462	565	314	439	367
gene509	ybbO	251	262	274	188	225	207
gene510	tesA	355	349	292	272	424	282
gene511	ybbA	148	141	108	106	174	137
gene512	ybbP	131	122	119	67	92	61
gene513	rhsD	1627	1493	1590	2078	2884	2189
gene514	ybbC	2297	2241	2592	3371	4967	3758
gene518	ylbG	211	218	202	262	357	260
gene519	selU	182	202	216	187	234	168
gene520	allS	33	46	29	21	25	23
gene521	allA	89	81	76	100	126	84
gene522	allR	1512	1174	1116	1104	1418	935
gene523	gcl	97	100	101	94	96	87
gene524	hyi	71	102	105	128	128	102
gene525	glxR	51	48	40	54	62	44
gene526	ybbW	45	73	57	66	102	81
gene527	allB	57	54	61	70	73	55
gene528	ybbY	30	40	44	39	59	30
gene529	glxK	19	29	28	22	38	23
gene530	allE	185	137	170	191	277	211
gene531	allC	164	209	279	193	203	191
gene532	allD	35	42	33	49	65	48
gene533	fdrA	11	8	10	14	18	21
gene534	ylbE	4	7	8	6	15	7
gene535	ylbF	4	5	5	4	6	8
gene536	ybcF	8	17	14	12	21	15
gene537	purK	220	147	117	137	148	131
gene538	purE	47	38	19	87	98	66
gene539	lpxH	1354	771	515	1019	1613	1044
gene540	ppiB	9763	8047	7259	10366	16898	9630
gene541	cysS	1950	2166	2249	4170	4816	4189
gene542	ybcI	29	34	23	28	34	31
gene543	ybcJ	189	248	248	193	209	166
gene544	folD	1199	1547	1361	1254	1456	1134
gene545	sfmA	152	166	199	215	290	217
gene546	sfmC	1204	785	828	1616	2167	1402
gene547	sfmD	620	552	532	882	1286	984
gene548	sfmH	97	91	127	186	199	163
gene549	sfmF	160	194	212	224	288	206
gene550	fimZ	475	746	987	1157	1421	1140
gene551	argU	188	264	262	592	563	471
gene552	intD	4257	2801	2389	5561	8863	4692
gene557	insE-3	130	131	138	148	202	150
gene558	insF-3	168	183	168	167	243	185
gene559	emrE	1128	1624	1731	3597	3614	3350
gene560	ylcJ	40	26	33	74	126	99
gene561	ybcK	852	841	950	1593	2105	1581
gene562	ybcL	599	485	578	902	1137	717
gene563	ybcM	1197	1095	980	1485	2107	1566
gene564	ylcH	33	26	25	42	81	60
gene565	ybcN	54	83	60	57	97	68
gene566	ninE	13	22	22	17	28	28
gene567	ybcO	14	5	8	15	18	11
gene568	rusA	2	6	8	7	11	11
gene569	ylcG	12	18	10	30	34	29
gene570	ybcQ	93	73	78	99	115	113
gene572	insH-2	581	570	538	319	497	315
gene573	essD	137	99	80	148	240	131
gene574	rrrD	302	260	247	510	630	441
gene575	rzpD	887	609	512	1965	2363	1861
gene576	rzoD	396	223	164	675	948	616
gene577	borD	4122	4234	3977	9005	12469	9330
gene578	ybcV	435	611	787	952	1186	1049
gene579	ybcW	777	1044	1327	1409	1624	1627
gene580	ylcI	222	166	174	417	444	352
gene581	nohD	24	25	35	24	37	36
gene583	tfaD	66	64	74	87	141	89
gene585	tfaX	244	186	182	270	329	243
gene586	appY	1346	1400	1487	2625	3567	2988
gene587	ompT	34392	27158	26652	35245	47901	33336
gene588	envY	246	284	284	371	431	354
gene589	ybcH	118	101	105	109	150	103
gene590	nfrA	314	330	310	270	406	341
gene591	nfrB	494	666	602	634	891	742
gene592	cusS	177	155	169	147	196	168
gene593	cusR	404	422	437	329	406	449
gene594	cusC	90	86	95	152	186	175
gene595	cusF	37	24	32	59	87	60
gene596	cusB	47	48	23	46	57	55
gene597	cusA	73	87	64	57	72	75
gene598	pheP	1746	1144	1028	1725	2207	1530
gene599	ybdG	918	1236	1350	2066	2243	1832
gene600	nfsB	577	573	444	733	736	573
gene601	ybdF	383	294	283	528	722	474
gene602	ybdJ	708	560	371	896	1219	868
gene603	ybdK	85	83	108	97	133	78
gene604	sokE	26	23	29	30	45	36
gene605	hokE	37	49	74	46	53	34
gene606	insL-2	1506	1489	1565	782	957	798
gene607	entD	68	77	75	128	164	110
gene608	fepA	159	142	195	219	257	180
gene609	fes	39	39	25	53	76	50
gene610	ybdZ	3	5	7	2	5	2
gene611	entF	134	136	101	106	162	130
gene612	fepE	99	89	91	184	219	159
gene613	fepC	111	107	104	107	118	66
gene614	fepG	92	77	74	75	88	83
gene615	fepD	1883	1912	1972	2733	3195	3244
gene616	entS	128	115	83	130	169	114
gene617	fepB	183	140	117	222	278	161
gene618	entC	154	98	105	325	396	305
gene619	entE	85	88	83	147	148	127
gene620	entB	49	60	46	80	84	74
gene621	entA	65	80	80	87	91	67
gene622	entH	45	42	43	53	53	36
gene623	cstA	1627	3048	3246	1019	1133	966
gene624	ybdD	174	264	240	107	153	129
gene625	hcxA	355	454	360	223	274	258
gene626	ybdL	99	111	99	142	146	141
gene627	ybdM	101	121	121	114	158	98
gene628	ybdN	96	122	145	149	211	169
gene629	ybdO	870	1140	1525	1420	1790	1542
gene630	dsbG	379	418	462	369	549	452
gene631	ahpC	6219	7693	8583	6376	7765	6628
gene632	ahpF	2239	2147	2399	2624	3287	2780
gene633	uspG	793	909	745	1122	1442	912
gene634	ybdR	138	166	240	159	199	162
gene635	yldA	141	196	248	155	188	112
gene636	rnk	1364	857	695	634	888	564
gene637	rna	998	1188	960	1151	1503	1187
gene638	citT	309	149	122	197	357	164
gene639	citG	15	21	12	25	32	32
gene640	citX	11	14	15	11	21	10
gene641	citF	16	23	25	17	21	23
gene642	citE	93	199	193	77	75	81
gene643	citD	6	3	6	5	12	8
gene644	citC	244	243	261	225	366	229
gene645	dpiB	193	249	290	213	284	228
gene646	dpiA	145	192	176	179	270	195
gene647	dcuC	146	1172	1087	146	163	132
gene648	pagP	226	257	288	321	411	280
gene649	cspE	136930	68559	45610	33054	60840	29167
gene650	crcB	617	434	337	664	1099	617
gene652	tatE	1053	628	617	1405	1781	1034
gene653	lipA	1406	1872	1845	3242	3613	3015
gene654	ybeF	1014	1038	933	1710	2137	1605
gene655	lipB	531	386	328	554	743	503
gene656	ybeD	879	599	457	993	1447	949
gene657	dacA	3636	3843	4286	6429	7053	5768
gene658	rlpA	958	851	810	512	666	497
gene659	mrdB	1956	1476	1394	714	910	620
