GeneID	Name	WT	dCRISPR
gene-LSE_RS00380	LSE_RS00380	1279	901
gene-LSE_RS00385	LSE_RS00385	1532	1884
gene-LSE_RS00390	LSE_RS00390	1438	916
gene-LSE_RS00395	LSE_RS00395	168	94
gene-LSE_RS00400	LSE_RS00400	1192	594
gene-LSE_RS00405	LSE_RS00405	1398	880
gene-LSE_RS00415	LSE_RS00415	1583	861
gene-LSE_RS00430	LSE_RS00430	908	671
gene-LSE_RS00435	LSE_RS00435	174	139
gene-LSE_RS00440	LSE_RS00440	265	172
gene-LSE_RS00445	LSE_RS00445	718	527
gene-LSE_RS00450	LSE_RS00450	9952	14427
gene-LSE_RS00455	LSE_RS00455	4144	7432
gene-LSE_RS00460	LSE_RS00460	5902	12271
gene-LSE_RS00465	LSE_RS00465	3823	5132
gene-LSE_RS00470	LSE_RS00470	1045	540
gene-LSE_RS00475	LSE_RS00475	1168	487
gene-LSE_RS00480	LSE_RS00480	1329	599
gene-LSE_RS00485	LSE_RS00485	1826	1036
gene-LSE_RS00490	LSE_RS00490	228	108
gene-LSE_RS00495	LSE_RS00495	63	26
gene-LSE_RS00500	LSE_RS00500	56	48
gene-LSE_RS00510	LSE_RS00510	27	25
gene-LSE_RS00515	LSE_RS00515	100	107
gene-LSE_RS00520	LSE_RS00520	692	319
gene-LSE_RS00525	chiB	287	173
gene-LSE_RS00530	LSE_RS00530	662	460
gene-LSE_RS00535	LSE_RS00535	618	796
gene-LSE_RS00540	LSE_RS00540	123	192
gene-LSE_RS00545	LSE_RS00545	266	402
gene-LSE_RS00550	LSE_RS00550	279	243
gene-LSE_RS00555	LSE_RS00555	184	223
gene-LSE_RS00560	LSE_RS00560	160	133
gene-LSE_RS00565	LSE_RS00565	763	279
gene-LSE_RS00570	LSE_RS00570	840	431
gene-LSE_RS00575	LSE_RS00575	1340	942
gene-LSE_RS00580	LSE_RS00580	363	169
gene-LSE_RS00585	LSE_RS00585	503	310
gene-LSE_RS00590	LSE_RS00590	907	498
gene-LSE_RS00595	LSE_RS00595	1628	840
gene-LSE_RS00600	LSE_RS00600	1176	571
gene-LSE_RS00605	LSE_RS00605	1634	961
gene-LSE_RS00610	LSE_RS00610	1447	903
gene-LSE_RS00615	LSE_RS00615	4799	5885
gene-LSE_RS00620	LSE_RS00620	2922	3019
gene-LSE_RS00625	LSE_RS00625	9705	8836
gene-LSE_RS00630	LSE_RS00630	988	1041
gene-LSE_RS00635	LSE_RS00635	1219	1106
gene-LSE_RS00640	LSE_RS00640	171607	142682
gene-LSE_RS00645	LSE_RS00645	37645	35022
gene-LSE_RS00650	LSE_RS00650	32061	27801
gene-LSE_RS00655	LSE_RS00655	39722	22204
gene-LSE_RS00660	LSE_RS00660	133	134
gene-LSE_RS00665	LSE_RS00665	58	54
gene-LSE_RS00670	LSE_RS00670	36	43
gene-LSE_RS00675	LSE_RS00675	3111	998
gene-LSE_RS00680	yidA	2415	1009
gene-LSE_RS00685	LSE_RS00685	1676	1003
gene-LSE_RS00690	LSE_RS00690	1649	869
gene-LSE_RS00695	LSE_RS00695	935	596
gene-LSE_RS00700	LSE_RS00700	2465	1947
gene-LSE_RS00705	LSE_RS00705	1148	1025
gene-LSE_RS00710	LSE_RS00710	1075	999
gene-LSE_RS00715	LSE_RS00715	6036	3843
gene-LSE_RS00720	holB	13607	8587
gene-LSE_RS00725	LSE_RS00725	11486	8405
gene-LSE_RS00730	yabA	5373	4342
gene-LSE_RS00735	LSE_RS00735	3277	2530
gene-LSE_RS00740	LSE_RS00740	1738	1357
gene-LSE_RS00745	rsmI	5116	3838
gene-LSE_RS00750	LSE_RS00750	300	218
gene-LSE_RS00755	LSE_RS00755	6944	4370
gene-LSE_RS00760	LSE_RS00760	5362	3248
gene-LSE_RS00765	metG	17076	17453
gene-LSE_RS00770	LSE_RS00770	41176	31874
gene-LSE_RS00775	LSE_RS00775	17625	15569
gene-LSE_RS00780	LSE_RS00780	16974	19604
gene-LSE_RS00785	LSE_RS00785	20321	29911
gene-LSE_RS00790	LSE_RS00790	27099	41359
gene-LSE_RS00795	LSE_RS00795	16748	37240
gene-LSE_RS00800	LSE_RS00800	13540	33427
gene-LSE_RS00805	LSE_RS00805	2276	1927
gene-LSE_RS00810	LSE_RS00810	27689	17913
gene-LSE_RS00815	rnmV	3853	2500
gene-LSE_RS00820	rsmA	5684	4598
gene-LSE_RS00825	LSE_RS00825	16324	6842
gene-LSE_RS00830	ispE	7889	3979
gene-LSE_RS00835	chbG	7405	3662
gene-LSE_RS00840	purR	6368	3659
gene-LSE_RS00845	LSE_RS00845	7095	3370
gene-LSE_RS00850	LSE_RS00850	3465	2340
gene-LSE_RS00855	LSE_RS00855	5332	4214
gene-LSE_RS00860	spoVG	42102	57172
gene-LSE_RS00865	spoVG	23483	35272
gene-LSE_RS00870	glmU	18566	16151
gene-LSE_RS00875	LSE_RS00875	9914	8926
gene-LSE_RS00880	LSE_RS00880	1243	569
gene-LSE_RS00885	araD	94	56
gene-LSE_RS00890	LSE_RS00890	189	185
gene-LSE_RS00895	LSE_RS00895	262	195
gene-LSE_RS00900	LSE_RS00900	997	424
gene-LSE_RS00905	lso	1722	2682
gene-LSE_RS00910	LSE_RS00910	295	187
gene-LSE_RS00915	LSE_RS00915	135	89
gene-LSE_RS00920	actA	900	707
gene-LSE_RS00925	LSE_RS00925	100	118
gene-LSE_RS00930	LSE_RS00930	175	108
gene-LSE_RS00935	LSE_RS00935	323	296
gene-LSE_RS00940	LSE_RS00940	94	125
gene-LSE_RS00945	LSE_RS00945	2100	1380
gene-LSE_RS00950	LSE_RS00950	2192	1387
gene-LSE_RS00955	LSE_RS00955	2036	2207
gene-LSE_RS00960	LSE_RS00960	3298	3866
gene-LSE_RS00965	LSE_RS00965	27283	40276
gene-LSE_RS00970	LSE_RS00970	4729	2304
gene-LSE_RS00975	LSE_RS00975	2670	1289
gene-LSE_RS00980	pth	9768	4238
gene-LSE_RS00985	mfd	25715	19710
gene-LSE_RS00990	LSE_RS00990	12955	12039
gene-LSE_RS00995	LSE_RS00995	3595	3277
gene-LSE_RS01000	LSE_RS01000	12821	6872
gene-LSE_RS01005	LSE_RS01005	24181	13005
gene-LSE_RS01020	ftsH	113281	74404
gene-LSE_RS01025	LSE_RS01025	30198	19631
gene-LSE_RS01030	hslO	45745	28850
gene-LSE_RS01035	cysK	54333	29773
gene-LSE_RS01040	folP	3453	1633
gene-LSE_RS01045	folB	2459	1226
gene-LSE_RS01050	folK	2650	1686
gene-LSE_RS01055	dusB	8701	7753
gene-LSE_RS01060	lysS	19621	23196
gene-LSE_RS01065	LSE_RS01065	16	2
gene-LSE_RS01070	LSE_RS01070	6	2
gene-LSE_RS01075	rrf	31	31
gene-LSE_RS01080	LSE_RS01080	463	302
gene-LSE_RS01085	LSE_RS01085	4409	2017
gene-LSE_RS01090	LSE_RS01090	12504	6274
gene-LSE_RS01095	LSE_RS01095	16228	8190
gene-LSE_RS01100	LSE_RS01100	15482	7942
gene-LSE_RS01105	LSE_RS01105	13794	5792
gene-LSE_RS01110	LSE_RS01110	8316	2959
gene-LSE_RS01115	LSE_RS01115	6029	2211
gene-LSE_RS01120	LSE_RS01120	10156	1948
gene-LSE_RS01125	LSE_RS01125	1	0
gene-LSE_RS01130	LSE_RS01130	0	0
gene-LSE_RS01135	rrf	9	6
gene-LSE_RS01140	LSE_RS01140	5355	1734
gene-LSE_RS01145	LSE_RS01145	7547	2716
gene-LSE_RS01150	LSE_RS01150	14668	5482
gene-LSE_RS01155	LSE_RS01155	24894	13187
gene-LSE_RS01160	radA	4979	2065
gene-LSE_RS01165	LSE_RS01165	11705	9760
gene-LSE_RS01170	ispD	9737	9590
gene-LSE_RS01175	gltX	19101	19434
gene-LSE_RS01180	cysE	4994	1435
gene-LSE_RS01185	cysS	11254	5820
gene-LSE_RS01190	LSE_RS01190	7421	4334
gene-LSE_RS01195	rlmB	11450	8218
gene-LSE_RS01200	LSE_RS01200	7553	7961
gene-LSE_RS01205	LSE_RS01205	10011	9992
gene-LSE_RS01210	rpmG	19099	10841
gene-LSE_RS01215	secE	16558	9890
gene-LSE_RS01220	nusG	26790	20279
gene-LSE_RS01225	LSE_RS01225	4140	2557
gene-LSE_RS01230	rplK	72010	82064
gene-LSE_RS01235	rplA	89343	103455
gene-LSE_RS01240	rplJ	148178	127138
gene-LSE_RS01245	rplL	51097	51543
gene-LSE_RS01250	LSE_RS01250	3965	2490
gene-LSE_RS01255	LSE_RS01255	6613	4204
gene-LSE_RS01260	LSE_RS01260	1366	966
gene-LSE_RS01265	LSE_RS01265	1006	957
gene-LSE_RS01270	LSE_RS01270	2694	2056
gene-LSE_RS01275	LSE_RS01275	13720	11449
gene-LSE_RS01280	rpoB	119287	126070
gene-LSE_RS01285	rpoC	103456	163073
gene-LSE_RS01290	LSE_RS01290	1674	491
gene-LSE_RS01295	LSE_RS01295	2653	1868
gene-LSE_RS01300	LSE_RS01300	2104	1189
gene-LSE_RS01305	LSE_RS01305	803	353
gene-LSE_RS01310	LSE_RS01310	2254	1630
gene-LSE_RS01315	LSE_RS01315	3220	2166
gene-LSE_RS01320	LSE_RS01320	843	532
gene-LSE_RS01325	LSE_RS01325	264	262
gene-LSE_RS01330	LSE_RS01330	5340	6255
gene-LSE_RS01335	yidA	3406	3033
gene-LSE_RS01340	LSE_RS01340	1365	1492
gene-LSE_RS01350	LSE_RS01350	2982	2403
gene-LSE_RS01355	LSE_RS01355	2352	1400
gene-LSE_RS01360	LSE_RS01360	3714	2995
gene-LSE_RS01365	ugpC	4540	6130
gene-LSE_RS01370	nrdD	6701	4112
gene-LSE_RS01375	nrdG	2559	1901
gene-LSE_RS01380	LSE_RS01380	4108	2769
gene-LSE_RS01385	LSE_RS01385	5011	3668
gene-LSE_RS01390	LSE_RS01390	3171	2887
gene-LSE_RS01395	LSE_RS01395	5628	4530
gene-LSE_RS01400	LSE_RS01400	6283	4369
gene-LSE_RS01405	LSE_RS01405	1427	1433
gene-LSE_RS01410	yycF	10763	8213
gene-LSE_RS01415	walK	7415	4891
gene-LSE_RS01420	yycH	5808	4956
gene-LSE_RS01425	yycI	4574	4297
gene-LSE_RS01430	LSE_RS01430	9519	7200
gene-LSE_RS01435	LSE_RS01435	22997	14899
gene-LSE_RS01440	rlmH	152	90
gene-LSE_RS01445	LSE_RS01445	838	366
gene-LSE_RS01450	LSE_RS01450	489	352
gene-LSE_RS01455	LSE_RS01455	5465	5321
gene-LSE_RS01465	LSE_RS01465	4885	4438
gene-LSE_RS01470	LSE_RS01470	985	909
gene-LSE_RS01475	LSE_RS01475	3182	3591
gene-LSE_RS01480	LSE_RS01480	569	614
gene-LSE_RS01485	LSE_RS01485	586	712
gene-LSE_RS01490	LSE_RS01490	197	325
gene-LSE_RS01500	LSE_RS01500	1192	808
gene-LSE_RS01505	LSE_RS01505	1708	1092
gene-LSE_RS01510	LSE_RS01510	10373	13664
gene-LSE_RS01515	LSE_RS01515	545	334
gene-LSE_RS01520	tkt	305	289
gene-LSE_RS01525	fsa	142	107
gene-LSE_RS01530	LSE_RS01530	107	53
gene-LSE_RS01535	rpiB	73	42
gene-LSE_RS01540	LSE_RS01540	77	43
gene-LSE_RS01545	dhaL	65	25
gene-LSE_RS01550	dhaK	123	73
gene-LSE_RS01555	LSE_RS01555	85	51
gene-LSE_RS01560	LSE_RS01560	101	75
gene-LSE_RS01565	LSE_RS01565	81	30
gene-LSE_RS01570	LSE_RS01570	1495	976
gene-LSE_RS01580	LSE_RS01580	5148	3082
gene-LSE_RS01585	LSE_RS01585	371	310
gene-LSE_RS01590	LSE_RS01590	345	279
gene-LSE_RS01595	LSE_RS01595	122	79
gene-LSE_RS01605	LSE_RS01605	109	93
gene-LSE_RS01610	LSE_RS01610	4496	4112
gene-LSE_RS01615	LSE_RS01615	2931	4848
gene-LSE_RS01620	LSE_RS01620	7586	5995
gene-LSE_RS01625	LSE_RS01625	37	16
gene-LSE_RS01630	LSE_RS01630	58	58
gene-LSE_RS01635	LSE_RS01635	972	503
gene-LSE_RS01640	LSE_RS01640	684	413
gene-LSE_RS01645	LSE_RS01645	613	415
gene-LSE_RS01650	LSE_RS01650	9713	9409
gene-LSE_RS01655	LSE_RS01655	4304	4566
gene-LSE_RS01660	LSE_RS01660	791	432
gene-LSE_RS01670	LSE_RS01670	1659	913
gene-LSE_RS01675	LSE_RS01675	332	206
gene-LSE_RS01680	LSE_RS01680	674	449
gene-LSE_RS01685	LSE_RS01685	1382	804
gene-LSE_RS01690	LSE_RS01690	540	441
gene-LSE_RS01695	LSE_RS01695	1741	1855
gene-LSE_RS01700	LSE_RS01700	1228	1313
gene-LSE_RS01705	iolA	277	108
gene-LSE_RS01710	iolB	58	61
gene-LSE_RS01715	iolC	65	88
gene-LSE_RS01720	iolD	157	171
gene-LSE_RS01725	LSE_RS01725	3104	1277
gene-LSE_RS01730	LSE_RS01730	2630	1475
gene-LSE_RS01735	LSE_RS01735	427	265
gene-LSE_RS01740	LSE_RS01740	676	311
gene-LSE_RS01745	LSE_RS01745	2223	2142
gene-LSE_RS01750	floA	5951	6223
gene-LSE_RS01755	LSE_RS01755	3787	4372
gene-LSE_RS01760	LSE_RS01760	305	155
gene-LSE_RS01765	LSE_RS01765	367	146
gene-LSE_RS01770	LSE_RS01770	164	43
gene-LSE_RS01775	LSE_RS01775	1009	478
gene-LSE_RS01780	LSE_RS01780	2067	1222
gene-LSE_RS01785	LSE_RS01785	1160	797
gene-LSE_RS01790	LSE_RS01790	5052	1833
gene-LSE_RS01795	LSE_RS01795	132	54
gene-LSE_RS01800	proC	734	388
gene-LSE_RS01805	LSE_RS01805	88	70
gene-LSE_RS01810	LSE_RS01810	406	335
gene-LSE_RS01815	LSE_RS01815	385	421
gene-LSE_RS01820	LSE_RS01820	352	505
gene-LSE_RS01825	LSE_RS01825	397	541
gene-LSE_RS01830	LSE_RS01830	897	642
gene-LSE_RS01840	LSE_RS01840	2984	1909
gene-LSE_RS01845	LSE_RS01845	2262	1774
gene-LSE_RS01850	LSE_RS01850	5293	3018
gene-LSE_RS01855	LSE_RS01855	2010	961
gene-LSE_RS01860	LSE_RS01860	2276	1210
gene-LSE_RS01865	LSE_RS01865	2261	1500
gene-LSE_RS01870	LSE_RS01870	7890	6459
gene-LSE_RS01875	ppsA	2473	918
gene-LSE_RS01880	LSE_RS01880	1036	655
gene-LSE_RS01890	LSE_RS01890	1746	884
gene-LSE_RS01895	LSE_RS01895	4403	2198
gene-LSE_RS01905	LSE_RS01905	2294	901
gene-LSE_RS01910	LSE_RS01910	2500	1462
gene-LSE_RS01915	LSE_RS01915	44	47
gene-LSE_RS01920	LSE_RS01920	2458	1929
gene-LSE_RS01925	LSE_RS01925	3539	4168
gene-LSE_RS01930	LSE_RS01930	4754	4077
gene-LSE_RS01935	LSE_RS01935	2286	1452
gene-LSE_RS01940	LSE_RS01940	1889	1076
gene-LSE_RS01945	LSE_RS01945	979	779
gene-LSE_RS01950	LSE_RS01950	78	29
gene-LSE_RS01955	LSE_RS01955	67	51
gene-LSE_RS01960	LSE_RS01960	140	99
gene-LSE_RS01965	LSE_RS01965	270	304
gene-LSE_RS01970	LSE_RS01970	470	292
gene-LSE_RS01975	LSE_RS01975	1146	867
gene-LSE_RS01980	LSE_RS01980	134	87
gene-LSE_RS01985	rlmN	6448	4461
gene-LSE_RS01990	LSE_RS01990	1157	813
gene-LSE_RS01995	isdG	8118	5138
gene-LSE_RS02000	LSE_RS02000	4213	2334
gene-LSE_RS02005	LSE_RS02005	16897	9739
gene-LSE_RS02010	rpmF	11479	8106
gene-LSE_RS02020	LSE_RS02020	2525	1413
gene-LSE_RS02025	LSE_RS02025	2366	1191
gene-LSE_RS02030	LSE_RS02030	2097	1087
gene-LSE_RS02035	LSE_RS02035	1467	994
gene-LSE_RS02040	LSE_RS02040	506	399
gene-LSE_RS02045	LSE_RS02045	339	231
gene-LSE_RS02050	aroD	669	498
gene-LSE_RS02055	LSE_RS02055	1112	861
gene-LSE_RS02060	LSE_RS02060	478	591
gene-LSE_RS02065	LSE_RS02065	1081	844
gene-LSE_RS02070	LSE_RS02070	3079	1745
gene-LSE_RS02075	LSE_RS02075	11154	7213
gene-LSE_RS02080	LSE_RS02080	1900	1214
gene-LSE_RS02085	LSE_RS02085	1375	763
gene-LSE_RS02090	LSE_RS02090	2351	1744
gene-LSE_RS02095	LSE_RS02095	3151	1846
gene-LSE_RS02100	LSE_RS02100	1040	499
gene-LSE_RS02105	LSE_RS02105	1754	1482
gene-LSE_RS02110	LSE_RS02110	44	22
gene-LSE_RS02115	cas6	287	142
gene-LSE_RS02120	cas8a1	389	417
gene-LSE_RS02125	cas7i	268	299
gene-LSE_RS02130	cas5b	203	292
gene-LSE_RS02135	LSE_RS02135	297	416
gene-LSE_RS02140	cas4	77	97
gene-LSE_RS02145	cas1b	170	185
gene-LSE_RS02150	cas2	57	66
gene-LSE_RS02155	LSE_RS02155	482	166
gene-LSE_RS02165	LSE_RS02165	925	320
gene-LSE_RS02170	LSE_RS02170	11485	15419
gene-LSE_RS02175	LSE_RS02175	1547	1500
gene-LSE_RS02180	LSE_RS02180	1631	1556
gene-LSE_RS02185	LSE_RS02185	2460	1305
gene-LSE_RS02190	LSE_RS02190	567	546
gene-LSE_RS02195	LSE_RS02195	7536	5673
gene-LSE_RS02200	LSE_RS02200	523	588
gene-LSE_RS02205	LSE_RS02205	6247	3473
gene-LSE_RS02210	LSE_RS02210	5565	3688
gene-LSE_RS02215	LSE_RS02215	5612	3477
gene-LSE_RS02220	LSE_RS02220	11646	8847
gene-LSE_RS02225	LSE_RS02225	3853	3722
gene-LSE_RS02230	LSE_RS02230	2665	1987
gene-LSE_RS02235	LSE_RS02235	1179	1172
gene-LSE_RS02240	LSE_RS02240	4190	3784
gene-LSE_RS02245	LSE_RS02245	2308	1851
gene-LSE_RS02250	LSE_RS02250	724	600
gene-LSE_RS02255	LSE_RS02255	340	151
gene-LSE_RS02260	LSE_RS02260	1778	1314
gene-LSE_RS02265	LSE_RS02265	1726	1439
gene-LSE_RS02270	LSE_RS02270	24763	15450
gene-LSE_RS02275	LSE_RS02275	8461	5526
gene-LSE_RS02280	LSE_RS02280	62285	60013
gene-LSE_RS02285	cbpA	7886	4831
gene-LSE_RS02290	LSE_RS02290	4337	2748
gene-LSE_RS02295	LSE_RS02295	7145	5235
gene-LSE_RS02300	LSE_RS02300	1139	837
gene-LSE_RS02305	LSE_RS02305	793	745
gene-LSE_RS02310	LSE_RS02310	66	45
gene-LSE_RS02315	LSE_RS02315	75	45
gene-LSE_RS02320	LSE_RS02320	347	237
gene-LSE_RS02325	LSE_RS02325	126	97
gene-LSE_RS02330	LSE_RS02330	147	120
gene-LSE_RS02340	LSE_RS02340	14084	10434
gene-LSE_RS02345	LSE_RS02345	1820	1216
gene-LSE_RS02350	gdhA	2890	2092
gene-LSE_RS02360	hisE	108	67
gene-LSE_RS02365	hisI	145	90
gene-LSE_RS02370	hisF	234	160
gene-LSE_RS02375	hisA	225	123
gene-LSE_RS02380	hisH	235	131
gene-LSE_RS02385	hisB	255	130
gene-LSE_RS02390	hisD	471	193
gene-LSE_RS02395	hisG	266	96
gene-LSE_RS02400	LSE_RS02400	601	221
gene-LSE_RS02405	hisJ	768	509
gene-LSE_RS02410	LSE_RS02410	514	133
gene-LSE_RS02415	LSE_RS02415	1051	693
gene-LSE_RS02420	LSE_RS02420	3157	1618
gene-LSE_RS02425	LSE_RS02425	2330	2845
gene-LSE_RS02430	LSE_RS02430	2472	2400
gene-LSE_RS02435	LSE_RS02435	2021	1111
gene-LSE_RS02440	xylA	350	451
gene-LSE_RS02445	xylB	595	827
gene-LSE_RS02450	LSE_RS02450	920	524
gene-LSE_RS02455	LSE_RS02455	1707	931
gene-LSE_RS02460	LSE_RS02460	1312	1057
gene-LSE_RS02465	LSE_RS02465	2599	1587
gene-LSE_RS02470	LSE_RS02470	8075	6739
gene-LSE_RS02475	LSE_RS02475	49858	30207
gene-LSE_RS02480	secA2	6293	4950
gene-LSE_RS02485	LSE_RS02485	6570	4828
gene-LSE_RS02490	LSE_RS02490	810	677
gene-LSE_RS02495	LSE_RS02495	504	512
gene-LSE_RS02500	LSE_RS02500	876	914
gene-LSE_RS02505	LSE_RS02505	1603	790
gene-LSE_RS02510	LSE_RS02510	1103	905
gene-LSE_RS02515	LSE_RS02515	6180	5044
gene-LSE_RS02520	LSE_RS02520	2974	3114
gene-LSE_RS02525	LSE_RS02525	7466	7749
gene-LSE_RS02530	LSE_RS02530	12253	11143
gene-LSE_RS02535	metX	1415	629
gene-LSE_RS02540	LSE_RS02540	1856	680
gene-LSE_RS02545	LSE_RS02545	5420	6395
gene-LSE_RS02550	LSE_RS02550	5007	2887
gene-LSE_RS02555	LSE_RS02555	292	189
gene-LSE_RS02560	LSE_RS02560	1478	1071
gene-LSE_RS02565	LSE_RS02565	3528	2374
gene-LSE_RS02570	LSE_RS02570	4976	3940
gene-LSE_RS02575	LSE_RS02575	941	594
gene-LSE_RS02580	LSE_RS02580	3717	1982
gene-LSE_RS02585	LSE_RS02585	3358	1610
gene-LSE_RS02590	LSE_RS02590	2476	1672
gene-LSE_RS02595	LSE_RS02595	2540	1195
gene-LSE_RS02600	LSE_RS02600	5837	3497
gene-LSE_RS02605	LSE_RS02605	4216	4124
gene-LSE_RS02610	LSE_RS02610	1270	1105
gene-LSE_RS02615	LSE_RS02615	5265	2306
gene-LSE_RS02620	LSE_RS02620	6800	3613
gene-LSE_RS02625	LSE_RS02625	1724	961
gene-LSE_RS02630	LSE_RS02630	3425	2366
gene-LSE_RS02635	LSE_RS02635	182	46
gene-LSE_RS02640	LSE_RS02640	2763	2955
gene-LSE_RS02645	LSE_RS02645	112	66
gene-LSE_RS02650	LSE_RS02650	1521	1008
gene-LSE_RS02655	LSE_RS02655	688	693
gene-LSE_RS02660	LSE_RS02660	1622	1172
gene-LSE_RS02665	LSE_RS02665	2090	1219
gene-LSE_RS02670	LSE_RS02670	313	178
gene-LSE_RS02675	LSE_RS02675	450	289
gene-LSE_RS02680	LSE_RS02680	1468	1018
gene-LSE_RS02685	LSE_RS02685	2261	1670
gene-LSE_RS02690	LSE_RS02690	1280	1387
gene-LSE_RS02695	LSE_RS02695	10	4
gene-LSE_RS02700	LSE_RS02700	144	113
gene-LSE_RS02705	LSE_RS02705	98	82
gene-LSE_RS02710	LSE_RS02710	12	12
gene-LSE_RS02715	LSE_RS02715	49	39
gene-LSE_RS02720	LSE_RS02720	78	69
gene-LSE_RS02725	LSE_RS02725	59	53
gene-LSE_RS02730	atpD	77	74
gene-LSE_RS02735	LSE_RS02735	29	33
gene-LSE_RS02740	LSE_RS02740	34	38
gene-LSE_RS02745	LSE_RS02745	562	565
gene-LSE_RS02750	LSE_RS02750	586	345
gene-LSE_RS02755	LSE_RS02755	577	353
gene-LSE_RS02760	LSE_RS02760	891	694
gene-LSE_RS02765	LSE_RS02765	380	379
gene-LSE_RS02770	LSE_RS02770	796	594
gene-LSE_RS02775	LSE_RS02775	924	726
gene-LSE_RS02780	LSE_RS02780	3533	2658
gene-LSE_RS02785	LSE_RS02785	877	774
gene-LSE_RS02790	LSE_RS02790	502	182
gene-LSE_RS02795	LSE_RS02795	1363	1193
gene-LSE_RS02800	LSE_RS02800	3941	3297
gene-LSE_RS02805	cadA	1701	377
gene-LSE_RS02810	LSE_RS02810	3187	1993
gene-LSE_RS02815	LSE_RS02815	185	134
gene-LSE_RS02820	LSE_RS02820	6893	4227
gene-LSE_RS02825	LSE_RS02825	856	753
gene-LSE_RS02830	LSE_RS02830	749	644
gene-LSE_RS02835	LSE_RS02835	814	390
gene-LSE_RS02840	LSE_RS02840	1606	853
gene-LSE_RS02845	LSE_RS02845	1109	768
gene-LSE_RS02850	LSE_RS02850	5737	4603
gene-LSE_RS02855	LSE_RS02855	1910	1867
gene-LSE_RS02860	LSE_RS02860	3871	4291
gene-LSE_RS02865	LSE_RS02865	12665	13218
gene-LSE_RS02870	LSE_RS02870	1526	787
gene-LSE_RS02875	LSE_RS02875	2219	948
gene-LSE_RS02880	LSE_RS02880	3939	2009
gene-LSE_RS02885	LSE_RS02885	396	285
gene-LSE_RS02890	LSE_RS02890	105	52
gene-LSE_RS02895	LSE_RS02895	145	135
