GeneID	Name	KSIJ01	KSIJ02	KSIJ03	KSIJ04	KSIJ05	KSIJ06
gene1085	yceI	93	96	103	97	65	44
gene1086	yceJ	154	161	212	73	70	44
gene1087	yceO	35	38	33	16	22	15
gene1088	solA	228	212	229	168	210	207
gene1089	bssS	1085	896	1500	688	753	694
gene109	ppdD	1	2	3	7	8	8
gene1090	dinI	290	209	450	52	51	55
gene1091	pyrC	266	200	230	105	137	103
gene1092	yceB	271	286	359	232	229	267
gene1093	grxB	191	204	223	765	531	403
gene1094	mdtH	23	28	38	63	63	55
gene1095	rimJ	101	109	171	292	315	345
gene1096	yceH	83	75	82	278	243	242
gene1097	yceM	92	105	122	379	354	324
gene1098	murJ	377	371	392	184	191	203
gene1099	flgN	2628	2638	1956	5870	6094	5577
gene11	mbiA	31	22	21	10	11	2
gene110	nadC	293	230	242	408	566	550
gene1100	flgM	1516	1448	1446	3429	4850	3610
gene1101	flgA	110	89	122	993	1040	677
gene1102	flgB	555	390	358	4544	5345	4171
gene1103	flgC	381	227	242	3409	3742	2801
gene1104	flgD	402	284	340	6140	6160	4838
gene1105	flgE	1018	749	762	12614	12912	10088
gene1106	flgF	129	124	111	1991	2048	1272
gene1107	flgG	314	282	274	4142	4382	2772
gene1108	flgH	120	89	132	1581	1834	1168
gene1109	flgI	512	506	258	2893	2689	2128
gene111	ampD	45	38	58	198	243	214
gene1110	flgJ	224	171	214	1797	1914	1324
gene1111	flgK	1579	1442	1532	6410	7009	5868
gene1112	flgL	1709	1338	1546	5731	7097	6047
gene1113	rne	5056	5037	3531	4745	4882	4993
gene1114	yceQ	0	0	4	1	0	5
gene1115	rluC	464	469	480	207	243	328
gene1116	yceF	39	51	67	88	93	97
gene1117	sraB	881	1044	1270	1055	777	1014
gene1118	yceD	13739	10291	18520	9725	10797	16693
gene1119	rpmF	8244	8054	11195	6940	7210	10297
gene112	ampE	28	39	41	156	181	174
gene1120	plsX	2733	2252	3545	2410	2882	4011
gene1121	fabH	1749	1698	1884	1656	1792	1957
gene1122	fabD	1948	1799	1848	2489	2734	2651
gene1123	fabG	2489	2200	3202	4981	5251	5939
gene1124	acpP	5097	4181	6259	8389	10285	10485
gene1125	fabF	11118	9930	9073	8520	9833	11624
gene1126	pabC	218	210	275	77	98	61
gene1127	mltG	303	288	264	126	123	100
gene1128	tmk	289	265	270	164	222	166
gene1129	holB	356	341	316	251	267	256
gene113	aroP	334	215	349	110	111	128
gene1130	ycfH	422	337	407	434	395	343
gene1131	ptsG	1195	1044	1282	2289	2204	2512
gene1132	fhuE	345	254	257	124	320	197
gene1133	hinT	1027	1134	1008	2242	1607	1624
gene1134	ycfL	111	99	135	361	355	230
gene1135	lpoB	62	50	60	313	284	210
gene1136	thiK	106	63	61	189	216	145
gene1137	nagZ	263	192	202	652	660	542
gene1138	ycfP	358	344	379	1223	1321	1259
gene1139	ndh	2350	2392	2643	1579	1680	1217
gene114	pdhR	6173	5291	6316	1349	2021	1485
gene1140	ycfJ	498	480	578	81	81	79
gene1141	comR	90	93	134	128	123	85
gene1142	bhsA	2604	2246	1629	202	283	169
gene1143	ldtC	17	16	22	56	70	67
gene1144	mfd	334	278	326	1151	1731	1441
gene1145	ycfT	15	15	13	9	3	9
gene1146	lolC	347	290	565	434	582	598
gene1147	lolD	136	108	134	490	578	648
gene1148	lolE	225	195	198	489	594	602
gene1149	nagK	223	153	225	450	529	431
gene115	aceE	28717	26403	23187	13320	10889	15079
gene1150	cobB	110	79	74	167	230	168
gene1151	ycfZ	117	93	83	14	20	9
gene1152	ymfA	36	28	33	18	27	22
gene1153	potD	510	461	395	607	551	524
gene1154	potC	216	205	232	267	318	354
gene1155	potB	362	332	515	234	318	341
gene1156	potA	841	670	780	263	292	301
gene1157	pepT	137	112	176	1109	893	1003
gene1158	roxA	1000	820	895	1455	1631	1601
gene1159	phoQ	668	557	672	976	1095	712
gene116	aceF	5421	4465	4584	5846	3590	5212
gene1160	phoP	804	728	978	1205	1213	899
gene1161	purB	374	300	328	378	360	334
gene1162	hflD	381	399	358	348	443	415
gene1163	mnmA	1818	1622	2242	821	910	982
gene1164	nudJ	48	34	38	43	65	47
gene1165	rluE	66	56	61	59	82	66
gene1166	icd	3443	3188	3162	3961	5208	3617
gene1167	ymfD	0	0	0	0	0	0
gene1168	ymfE	0	0	0	0	0	0
gene1169	lit	0	0	0	0	0	0
gene117	lpd	5867	4562	4746	5020	4905	6792
gene1170	intE	0	0	1	1	0	0
gene1171	xisE	0	0	0	0	0	0
gene1172	ymfH	0	0	1	0	0	0
gene1173	ymfI	0	0	0	0	0	0
gene1174	ymfJ	0	0	0	0	0	0
gene1175	ymfK	0	0	0	0	0	1
gene1176	ymfT	0	0	0	0	0	0
gene1177	ymfL	0	0	0	0	0	0
gene1178	ymfM	0	0	0	0	0	0
gene1179	ymfN	0	0	0	0	0	0
gene118	yacH	15	6	13	9	6	6
gene1182	ymfR	0	0	0	0	0	0
gene1183	beeE	0	0	0	0	0	0
gene1185	ymfQ	0	0	0	0	0	0
gene1186	ycfK	0	0	0	0	0	0
gene1187	tfaP	0	0	0	0	0	0
gene1188	tfaE	0	0	0	0	0	0
gene119	acnB	4086	3324	2996	4633	8627	5239
gene1190	pinE	0	0	0	0	0	0
gene1191	mcrA	0	0	1	0	0	0
gene1193	iraM	103	148	168	5	5	3
gene1194	ymgK	3	3	5	0	0	0
gene1195	ymgL	44	65	62	2	1	7
gene1196	ycgX	168	206	217	15	21	29
gene1197	bluR	1426	1253	1480	500	571	527
gene1198	bluF	1350	1239	1553	162	240	298
gene1199	ycgZ	560	566	848	33	23	18
gene12	yaaI	1	6	17	1	3	2
gene120	yacL	41	31	41	111	96	93
gene1200	ymgA	360	450	430	26	16	20
gene1201	ariR	120	151	205	6	0	3
gene1202	ymgC	492	613	1107	7	6	9
gene1203	pdeG	369	375	507	24	17	8
gene1204	ymgF	368	446	435	40	39	38
gene1206	ymgD	178	164	237	21	23	15
gene1207	ymgG	183	216	306	23	37	32
gene1208	ymgI	118	164	187	22	29	22
gene1209	ymgJ	19	13	6	0	5	2
gene121	speD	265	233	253	217	280	339
gene1211	minE	239	195	287	548	658	714
gene1212	minD	808	782	1044	1722	1942	2051
gene1213	minC	273	281	400	490	509	498
gene1214	ycgJ	91	68	98	94	115	83
gene1215	pliG	33	44	53	113	54	31
gene1216	ycgL	78	103	156	52	52	30
gene1217	ycgM	296	488	232	208	181	172
gene1218	ycgN	194	151	174	74	101	66
gene1219	hlyE	120	125	132	36	8	3
gene122	speE	606	440	653	331	460	536
gene1220	umuD	207	238	292	33	36	34
gene1221	umuC	326	363	410	62	46	55
gene1222	dsbB	519	490	679	434	529	633
gene1223	nhaB	392	287	480	583	834	885
gene1224	fadR	408	363	480	574	634	921
gene1225	ycgB	29	31	46	849	407	168
gene1226	dadA	119	101	119	270	379	680
gene1227	dadX	177	185	118	323	381	680
gene1228	ymgM	42	47	66	30	44	44
gene1229	cvrA	266	285	348	816	994	770
gene123	yacC	568	631	1144	892	1192	1590
gene1230	ldcA	85	121	143	103	136	135
gene1231	emtA	488	521	365	211	165	174
gene1232	ycgR	108	88	121	215	261	268
gene1233	ymgE	15	18	14	30	13	7
gene1234	ycgY	37	39	42	13	4	7
gene1235	treA	35	28	29	147	130	137
gene1236	dhaM	180	172	169	3217	3666	3640
gene1237	dhaL	60	49	44	1452	1774	1652
gene1238	dhaK	141	135	153	2920	3656	3193
gene1239	dhaR	220	219	205	162	195	158
gene124	cueO	67	54	74	389	349	279
gene1240	ycgV	540	512	564	90	81	82
gene1241	ychF	632	558	706	532	704	659
gene1242	pth	237	210	254	101	131	125
gene1243	ychH	32	38	45	1191	1046	1060
gene1244	dauA	192	155	220	162	199	229
gene1245	prs	3674	2509	3706	2779	2946	3547
gene1246	ispE	598	483	882	672	633	708
gene1247	lolB	207	183	209	425	404	345
gene1248	hemA	1030	951	1065	1359	1257	1524
gene1249	prfA	369	408	378	447	485	530
gene125	gcd	1834	1611	1612	407	468	382
gene1250	prmC	209	182	185	272	313	317
gene1251	ychQ	130	103	97	168	182	184
gene1252	ychA	495	431	490	668	647	655
gene1253	kdsA	422	327	454	973	955	996
gene1254	ldrA	5	0	2	1	2	2
gene1255	rdlA	158	83	237	245	153	123
gene1256	ldrB	22	12	50	5	6	2
gene1257	rdlB	15	8	25	38	23	19
gene1258	ldrC	3	0	2	0	3	2
gene1259	rdlC	10	4	18	27	17	23
gene126	hpt	722	733	807	616	775	809
gene1260	chaA	286	239	352	257	281	353
gene1261	chaB	80	89	92	58	63	36
gene1262	chaC	177	131	169	143	119	105
gene1263	ychN	112	108	131	872	1074	1567
gene1264	ychO	122	105	125	137	126	79
gene1265	narL	424	602	396	594	500	503
gene1266	narX	283	268	315	624	723	785
gene1267	narK	13	21	11	8713	11014	8424
gene1268	narG	80	93	92	36536	37480	23853
gene1269	narH	62	64	68	11380	9555	7087
gene127	can	795	660	1029	480	561	727
gene1270	narJ	18	17	22	3175	3046	2870
gene1271	narI	20	27	28	2027	1846	1965
gene1272	ychS	0	1	2	3	4	3
gene1273	rttR	1416	1053	2019	125	115	190
gene1274	tpr	1096	800	1681	79	83	132
gene1275	tyrV	1032	771	1263	292	249	343
gene1276	tyrT	757	771	1087	203	171	227
gene1277	purU	465	397	558	370	442	482
gene1278	ychJ	333	283	431	312	391	490
gene1279	rssA	138	113	128	564	526	572
gene128	yadG	232	243	195	144	172	113
gene1280	rssB	200	142	164	555	419	449
gene1281	galU	601	568	675	1094	909	862
gene1282	hns	12518	11835	16435	12784	15834	14300
gene1283	tdk	135	155	187	74	84	98
gene1285	adhE	1088	990	1198	21225	19601	10177
gene1286	ychE	86	59	110	77	90	66
gene1287	insH21	0	0	0	0	0	0
gene1288	oppA	9959	9619	9467	9646	9659	7516
gene1289	oppB	1725	2253	1563	1717	1660	1423
gene129	yadH	293	272	289	437	424	511
gene1290	oppC	1604	1909	1073	1577	1745	1461
gene1291	oppD	1502	1375	1078	2455	2655	2032
gene1292	oppF	1633	1708	1294	3271	2953	2226
gene1293	yciU	382	436	600	454	549	524
gene1294	clsA	350	384	468	514	618	479
gene1295	yciY	588	751	715	848	888	880
gene1296	kch	995	1488	395	406	295	285
gene1297	yciI	60	55	94	165	205	160
gene1298	tonB	669	629	774	110	261	190
gene1299	yciA	157	180	231	89	74	99
gene13	dnaK	6252	4639	5659	6443	17221	9011
gene130	yadI	78	95	91	224	219	290
gene1300	yciB	111	79	112	172	191	266
gene1301	yciC	113	140	169	217	248	262
gene1302	ompW	46	23	40	142	129	195
gene1303	yciE	193	236	374	15	13	20
gene1304	yciF	83	57	74	7	1	5
gene1305	yciG	16	16	12	2	0	0
gene1306	trpA	62	46	55	73	71	51
gene1307	trpB	77	94	86	147	149	90
gene1308	trpC	121	105	122	118	149	87
gene1309	trpD	72	71	59	46	62	61
gene131	yadE	140	157	205	160	203	188
gene1310	trpE	33	24	49	16	19	30
gene1311	trpL	10	13	15	2	0	3
gene1312	yciV	182	137	207	265	267	269
gene1313	yciO	220	197	288	584	548	452
gene1314	yciQ	311	285	464	524	474	373
gene1315	rluB	1400	1026	1314	514	506	676
gene1316	btuR	47	53	55	147	146	142
gene1317	yciK	82	81	95	160	181	164
gene1318	sohB	152	170	160	287	363	216
gene1319	yciN	205	201	213	329	352	183
gene132	panD	327	307	443	379	506	578
gene1320	topA	3669	3160	2866	1313	1994	1767
gene1321	cysB	720	676	749	905	1283	1266
gene1322	ymiA	51	56	91	56	89	49
gene1323	yciX	51	43	53	39	26	36
gene1324	ymiC	297	284	501	98	81	57
gene1325	acnA	361	359	349	752	850	527
gene1326	ribA	361	337	438	749	934	1022
gene1327	pgpB	141	172	196	245	249	207
gene1328	lapA	432	437	396	646	585	567
gene1329	lapB	388	365	390	560	655	616
gene133	rpnC	64	63	61	38	34	32
gene1330	pyrF	279	244	350	86	123	132
gene1331	yciH	110	148	148	31	44	33
gene1332	osmB	391	347	445	27	31	21
gene1333	yciT	384	347	543	744	932	1317
gene1334	yciZ	160	186	196	201	199	212
gene1335	pdeR	375	371	367	217	165	99
gene1336	ymiB	0	4	1	1	0	0
gene1337	rnb	985	730	927	603	703	782
gene1338	yciW	89	62	78	36	51	36
gene1339	fabI	1491	1438	1549	2866	2823	3395
gene134	panC	288	250	326	674	751	501
gene1340	ycjD	25	48	50	125	109	146
gene1341	sapF	64	66	88	182	192	182
gene1342	sapD	59	63	63	193	231	179
gene1343	sapC	84	79	82	359	358	414
gene1344	sapB	71	106	90	278	299	315
gene1345	sapA	235	239	239	371	400	400
gene1346	ymjA	147	112	54	47	39	23
gene1347	puuP	149	149	166	48	42	58
gene1348	ymjE	62	59	93	6	12	12
gene1349	puuA	1144	1708	1048	94	119	151
gene135	panB	140	122	129	305	379	229
gene1350	puuD	814	861	1096	38	55	50
gene1351	puuR	572	676	500	37	71	54
gene1352	puuC	329	400	424	11	25	16
gene1353	puuB	103	92	111	8	13	4
gene1354	puuE	28	45	44	7	9	8
gene1355	pspF	89	61	93	99	177	138
gene1356	pspA	5459	6265	4100	986	790	689
gene1357	pspB	1319	1194	1387	165	180	137
gene1358	pspC	699	632	608	119	133	116
gene1359	pspD	235	191	201	52	59	36
gene136	yadC	309	306	461	15	19	21
gene1360	pspE	369	426	580	466	484	591
gene1361	ycjM	277	248	217	35	29	49
gene1362	ycjN	130	93	74	11	15	20
gene1363	ycjO	34	45	46	14	8	14
gene1364	ycjP	11	18	12	8	10	13
gene1365	ycjQ	21	24	20	14	24	12
gene1366	ycjR	18	15	15	18	23	22
gene1367	ycjS	17	28	16	16	22	14
gene1368	ycjT	17	11	16	23	28	19
gene1369	ycjU	6	2	5	2	10	5
gene137	yadK	42	48	104	4	8	7
gene1372	ompG	43	65	61	10	9	9
gene1373	ycjW	99	108	94	19	25	33
gene1374	ycjX	86	84	112	177	344	203
gene1375	ycjF	38	38	39	99	248	134
gene1376	tyrR	778	719	677	1944	2309	2066
gene1377	tpx	2003	1712	1960	4952	4626	5258
gene1378	ycjG	173	140	173	305	337	309
gene1379	mpaA	135	95	129	247	322	275
gene138	yadL	89	101	110	14	13	9
gene1380	ymjC	6	7	8	22	15	20
gene1381	ymjD	3	0	4	11	4	9
gene1382	ycjY	11	9	8	29	22	16
gene1383	pgrR	205	182	257	163	194	207
gene1384	mppA	422	348	488	326	374	638
gene1385	ynaI	357	402	429	88	103	104
gene1386	insH-4	3	4	1	0	1	0
gene1387	ynaJ	352	337	626	365	427	430
gene1388	uspE	603	521	553	3374	3460	2827
gene1389	fnr	2018	1629	2239	1992	2789	2401
gene139	yadM	118	132	154	5	6	5
gene1390	ogt	56	32	35	43	49	57
gene1391	abgT	19	23	27	24	28	33
gene1392	abgB	9	15	12	16	22	10
gene1393	abgA	11	11	12	17	19	17
gene1394	abgR	28	21	16	51	57	117
gene1395	mcaS	196	180	363	1736	1840	1530
gene1396	smrA	166	168	195	49	53	55
gene1397	dgcM	54	52	56	279	171	70
gene1398	zntB	103	91	112	152	163	89
gene1399	fnrS	33	42	50	6610	5937	4274
gene14	dnaJ	766	650	705	635	1245	820
gene140	htrE	153	181	224	16	16	17
gene1400	ynaL	4	8	7	13	10	11
gene1401	dbpA	215	213	222	112	92	115
gene1402	ttcA	580	628	661	452	484	580
gene1403	intR	233	271	343	72	89	101
gene1404	xisR	10	10	8	0	0	0
gene1405	rcbA	15	18	16	0	0	0
gene1406	ralA	57	23	37	15	10	19
gene1407	ralR	8	19	15	0	0	0
gene1408	recT	32	32	46	17	22	15
gene1409	recE	110	90	106	16	21	14
gene141	yadV	85	76	113	3	1	3
gene1410	racC	5	16	29	1	3	0
gene1411	ydaE	37	59	45	1	0	2
gene1412	kilR	49	90	101	1	0	7
gene1413	sieB	537	774	724	18	11	13
gene1414	ydaF	25	23	20	8	11	13
gene1415	ydaG	40	32	36	13	37	25
gene1416	racR	659	679	942	900	978	856
gene1417	ydaS	11	7	16	4	10	2
gene1418	ydaT	26	45	28	14	13	10
gene1419	ydaU	13	10	12	5	5	3
gene142	yadN	81	84	97	7	8	19
gene1420	ydaV	8	2	13	7	11	4
gene1421	ydaW	24	18	28	22	31	24
gene1423	rzoR	1	0	0	1	0	0
gene1424	trkG	418	461	674	92	84	85
gene1425	ynaK	184	162	177	3	8	7
gene1426	ydaY	120	97	114	2	8	8
gene1427	ynaA	267	278	271	18	19	19
gene1429	insH-5	14	8	9	19	24	26
gene143	folK	130	116	121	48	87	97
gene1430	stfR	50	37	63	24	23	16
gene1431	tfaR	2	10	6	2	1	0
gene1432	pinR	304	261	293	97	137	189
gene1433	ynaE	386	459	308	248	318	237
gene1434	ynaM	1674	1996	2300	1030	1531	1677
gene1436	uspF	80	71	100	270	224	209
gene1437	ompN	422	466	465	11	14	16
gene1438	micC	13	9	30	1	2	1
gene1439	ydbK	318	290	393	2355	2038	1539
gene144	pcnB	1057	801	1018	437	512	715
gene1440	ydbJ	102	77	115	219	196	234
gene1441	hslJ	163	139	221	81	54	49
gene1442	ldhA	679	872	836	1034	993	560
gene1443	ydbH	138	137	147	386	405	335
gene1444	ynbE	50	59	51	130	137	71
gene1445	ydbL	31	28	41	91	86	46
gene1446	feaR	52	35	59	30	26	44
gene1447	feaB	109	87	109	44	44	41
gene1448	tynA	28	32	33	27	43	23
gene1449	paaZ	8	2	6	3	3	4
gene145	gluQ	358	380	408	199	269	307
gene1450	paaA	4	6	2	0	9	5
gene1451	paaB	1	3	1	0	1	1
gene1452	paaC	4	8	2	2	7	3
gene1453	paaD	0	0	0	2	3	1
gene1454	paaE	3	1	1	2	9	4
gene1455	paaF	1	4	4	6	9	4
gene1456	paaG	5	6	4	2	8	5
gene1457	paaH	5	3	8	3	19	9
gene1458	paaI	1	3	2	10	2	6
gene1459	paaJ	14	17	21	25	44	42
gene146	dksA	6965	7446	3486	3255	2591	4382
gene1460	paaK	24	20	23	32	53	41
gene1461	paaX	91	99	123	240	253	185
gene1462	paaY	59	31	51	125	137	93
gene1463	ynbG	1	5	1	0	0	0
gene1465	insD-2	1	2	0	2	0	1
gene1466	insC-2	0	0	0	1	1	0
gene1467	insI-2	4	6	1	3	3	3
gene1468	pdxI	20	47	38	96	90	108
gene1469	ydbD	538	614	611	46	40	34
gene147	sfsA	105	91	158	568	516	466
gene1470	ynbA	96	100	101	4	3	7
gene1471	ynbB	116	134	151	4	0	1
gene1472	ynbC	350	397	315	43	45	26
gene1473	ynbD	99	93	104	32	35	26
gene1474	azoR	152	78	160	140	154	120
gene1475	hrpA	1049	1034	911	2562	2974	2299
gene1476	ydcF	225	199	300	157	122	131
gene1477	aldA	83	62	66	183	413	571
gene1479	cybB	169	153	185	227	276	255
gene148	thpR	43	45	67	44	81	62
gene1480	rydC	100	90	160	838	454	554
gene1481	ydcA	61	59	52	81	87	77
gene1482	hokB	87	96	146	306	355	406
gene1483	mokB	110	109	169	336	376	412
gene1484	sokB	337	190	688	773	468	597
gene1485	trg	265	278	261	1610	1928	3237
gene1486	ydcI	408	342	476	133	184	172
gene1487	ydcJ	86	55	73	103	105	92
gene1488	opgD	313	340	396	561	574	708
gene1489	ydcH	10	5	18	25	17	11
gene149	hrpB	196	197	226	333	398	395
gene1490	rimL	60	75	79	104	127	104
gene1491	ydcK	8	13	17	38	20	11
gene1492	tehA	120	94	100	252	200	159
gene1493	tehB	136	138	128	282	273	173
gene1494	ydcL	104	115	135	183	133	142
gene1496	insQ	370	332	422	692	750	582
gene1497	ydcO	19	19	22	38	30	36
gene1498	sutR	79	47	52	30	33	25
gene1499	rlhA	435	386	457	186	254	208
gene15	insL-1	7	9	4	9	32	10
gene150	mrcB	565	443	555	656	677	686
gene1500	yncJ	47	47	33	24	28	14
gene1501	hicA	130	116	125	58	64	72
gene1502	hicB	17	31	31	21	22	15
gene1503	ydcR	210	219	245	84	70	79
gene1504	ydcS	46	42	33	122	59	23
gene1505	ydcT	23	16	24	103	32	22
gene1506	ydcU	26	23	43	112	38	30
gene1507	ydcV	9	5	5	33	21	24
gene1508	patD	35	53	41	117	54	49
gene1509	yncL	67	86	71	479	488	294
gene151	fhuA	1953	1849	1973	1686	4439	3344
gene1510	ortT	148	220	216	20	24	12
gene1511	ydcY	777	910	809	323	350	265
gene1512	ydcZ	23	41	42	98	157	138
gene1513	mnaT	46	45	67	174	218	180
gene1514	curA	47	36	39	93	69	45
gene1515	mcbR	164	166	180	45	26	27
gene1516	yncD	511	404	440	67	80	120
gene1517	yncE	741	679	851	583	770	706
gene1518	ansP	288	216	251	34	47	71
gene1519	yncG	19	17	20	34	29	8
gene152	fhuC	147	180	181	326	892	649
gene1520	yncH	12	14	16	0	1	0
gene1522	ydcD	655	843	935	15	19	16
gene1523	yncO	3	5	4	1	0	0
gene1525	ydcC	566	725	649	4	7	9
gene1526	pptA	365	489	314	73	70	69
gene1527	yddH	1	1	0	18	9	6
gene1528	nhoA	54	59	51	22	18	18
gene1529	yddE	114	86	108	200	250	228
gene153	fhuD	149	190	178	343	612	471
gene1530	narV	3	12	12	22	18	8
gene1531	narW	0	2	1	26	17	5
gene1532	narY	36	32	3	77	43	28
gene1533	narZ	54	46	49	164	81	56
gene1534	narU	13	20	26	63	30	15
gene1536	yddK	21	33	31	1	0	0
gene1537	yddL	7	21	15	0	0	0
gene1538	yddG	57	51	91	56	70	52
gene1539	fdnG	106	94	91	3405	2617	3016
gene154	fhuB	131	169	158	675	1060	769
gene1540	fdnH	50	63	42	950	685	801
gene1541	fdnI	38	44	45	346	319	366
gene1542	yddM	345	347	497	148	241	223
gene1543	adhP	80	73	65	109	123	72
gene1544	maeA	1213	1241	1138	2453	2753	2183
gene1545	sra	152	122	185	157	110	65
gene1546	bdm	120	106	221	3	2	2
gene1547	osmC	143	132	154	188	87	41
gene1548	ddpF	7	22	16	20	21	5
gene1549	ddpD	13	15	9	9	12	4
gene155	hemL	522	498	625	1238	1247	1155
gene1550	ddpC	12	8	11	11	11	6
gene1551	ddpB	10	11	12	14	14	12
gene1552	ddpA	18	8	12	9	17	7
gene1553	ddpX	1	0	0	4	1	1
gene1554	dosP	86	53	54	68	60	27
gene1555	dosC	128	98	102	56	55	52
gene1556	yddY	20	18	24	12	14	15
gene1557	yddW	157	139	144	90	62	80
gene1558	gadC	51	68	72	60	46	36
gene1559	gadB	34	47	46	10	12	6
gene156	clcA	203	226	260	383	437	325
gene1560	pqqL	252	238	304	197	222	138
gene1561	yddB	109	158	156	82	107	56
gene1562	yddA	359	478	462	31	46	37
gene1563	yneP	69	35	114	11	11	7
gene1564	ydeM	51	48	82	73	69	62
gene1565	ydeN	87	71	120	209	216	207
gene1566	ydeO	208	281	284	3	7	5
gene1567	safA	23	52	49	1	0	1
gene1568	ydeP	808	987	772	55	57	29
gene1569	ydeQ	594	606	568	9	25	14
gene157	yadW	274	315	360	127	148	132
gene1570	ydeR	453	413	396	6	6	8
gene1571	ydeS	1179	1255	1296	30	37	30
gene1572	ydeT	2812	2672	3254	48	76	61
gene1574	hipA	126	125	159	49	59	23
gene1575	hipB	208	188	217	59	65	42
gene1577	lsrK	86	48	64	58	69	66
gene1578	lsrR	23	25	32	73	48	93
